Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523856381497,1476727753886618,0.0,0.0,0.0
android.sensor.gyroscope,1523856381516,1476727773908493,0.0,0.0,0.0
android.sensor.gyroscope,1523856381536,1476727793899118,-0.0049043754,-2.6179937E-4,0.03926991
android.sensor.gyroscope,1523856381556,1476727813891305,-0.00408407,0.0,0.055902895
android.sensor.gyroscope,1523856381576,1476727833913180,-0.0032637657,2.6179937E-4,0.056164697
android.sensor.gyroscope,1523856381596,1476727853903805,-0.0021816615,0.0,0.039531708
android.sensor.gyroscope,1523856381616,1476727873894430,-0.0021816615,2.6179937E-4,0.039531708
android.sensor.gyroscope,1523856381636,1476727893917868,-0.0035430184,5.410521E-4,0.056164697
android.sensor.gyroscope,1523856381656,1476727913908493,-0.007347836,2.6179937E-4,0.038990654
android.sensor.gyroscope,1523856381676,1476727933897555,-0.010349803,2.6179937E-4,0.05508259
android.sensor.gyroscope,1523856381696,1476727953889743,-0.010629055,2.6179937E-4,0.05508259
android.sensor.gyroscope,1523856381716,1476727973911618,-0.010349803,5.410521E-4,0.05508259
android.sensor.gyroscope,1523856381736,1476727993902243,0.0,0.0,0.0
android.sensor.gyroscope,1523856381756,1476728013894430,0.0,0.0,0.0
android.sensor.gyroscope,1523856381776,1476728033916305,0.0,0.0,0.0
android.sensor.gyroscope,1523856381796,1476728053906930,0.0,0.0,0.0
android.sensor.gyroscope,1523856381816,1476728073897555,0.0,0.0,0.0
android.sensor.gyroscope,1523856381836,1476728093889743,0.0,0.0,0.0
android.sensor.gyroscope,1523856381856,1476728113911618,0.0,0.0,0.0
android.sensor.gyroscope,1523856381876,1476728133902243,0.0,0.0,0.0
android.sensor.gyroscope,1523856381896,1476728153892868,0.0,0.0,0.0
android.sensor.gyroscope,1523856381916,1476728173914743,0.0,0.0,0.0
android.sensor.gyroscope,1523856381936,1476728193905368,0.0,0.0,0.0
android.sensor.gyroscope,1523856381956,1476728213895993,0.0,0.0,0.0
android.sensor.gyroscope,1523856381976,1476728233888180,0.0,0.0,0.0
android.sensor.gyroscope,1523856381996,1476728253910055,0.0,0.0,0.0
android.sensor.gyroscope,1523856382016,1476728273900680,-0.0051661744,-8.0285146E-4,-0.03926991
android.sensor.gyroscope,1523856382036,1476728293892868,-5.410521E-4,-8.0285146E-4,-0.056164697
android.sensor.gyroscope,1523856382056,1476728313914743,-5.410521E-4,-8.0285146E-4,-0.056164697
android.sensor.gyroscope,1523856382076,1476728333905368,-2.6179937E-4,-5.410521E-4,-0.039531708
android.sensor.gyroscope,1523856382096,1476728353895993,-8.0285146E-4,-0.0010821042,-0.056164697
android.sensor.gyroscope,1523856382116,1476728373886618,-5.410521E-4,-5.410521E-4,-0.056164697
android.sensor.gyroscope,1523856382136,1476728393908493,-5.410521E-4,-5.410521E-4,-0.039531708
android.sensor.gyroscope,1523856382156,1476728413899118,0.0,0.0,0.0
android.sensor.gyroscope,1523856382176,1476728433891305,0.0,0.0,0.0
android.sensor.gyroscope,1523856382196,1476728453913180,0.0,0.0,0.0
android.sensor.gyroscope,1523856382216,1476728473903805,0.0,0.0,0.0
android.sensor.gyroscope,1523856382236,1476728493894430,0.0,0.0,0.0
android.sensor.gyroscope,1523856382256,1476728513917868,0.0,0.0,0.0
android.sensor.gyroscope,1523856382276,1476728533908493,0.0,0.0,0.0
android.sensor.gyroscope,1523856382296,1476728553899118,0.0,0.0,0.0
android.sensor.gyroscope,1523856382316,1476728573889743,0.0,0.0,0.0
android.sensor.gyroscope,1523856382336,1476728593911618,0.0,0.0,0.0
android.sensor.gyroscope,1523856382356,1476728613903805,0.0,0.0,0.0
android.sensor.gyroscope,1523856382376,1476728633892868,0.0,0.0,0.0
android.sensor.gyroscope,1523856382396,1476728653916305,0.0,0.0,0.0
android.sensor.gyroscope,1523856382416,1476728673906930,-8.0285146E-4,-0.007906342,-0.038711403
android.sensor.gyroscope,1523856382436,1476728693897555,-8.0285146E-4,-0.008447394,-0.038711403
android.sensor.gyroscope,1523856382456,1476728713889743,-5.410521E-4,-8.0285146E-4,-0.06843436
android.sensor.gyroscope,1523856382476,1476728733911618,-2.6179937E-4,-5.410521E-4,-0.056164697
android.sensor.gyroscope,1523856382496,1476728753902243,-2.6179937E-4,-5.410521E-4,-0.039531708
android.sensor.gyroscope,1523856382516,1476728773892868,-2.6179937E-4,-5.410521E-4,-0.039531708
android.sensor.gyroscope,1523856382536,1476728793914743,-2.6179937E-4,-5.410521E-4,-0.039531708
android.sensor.gyroscope,1523856382556,1476728813906930,-2.6179937E-4,-5.410521E-4,-0.039531708
android.sensor.gyroscope,1523856382576,1476728833897555,-5.410521E-4,-8.0285146E-4,-0.039531708
android.sensor.gyroscope,1523856382596,1476728853888180,0.0,0.0,0.0
android.sensor.gyroscope,1523856382616,1476728873910055,0.0,0.0,0.0
android.sensor.gyroscope,1523856382636,1476728893900680,0.0,0.0,0.0
android.sensor.gyroscope,1523856382656,1476728913892868,0.0,0.0,0.0
android.sensor.gyroscope,1523856382676,1476728933914743,0.0,0.0,0.0
android.sensor.gyroscope,1523856382696,1476728953905368,-8.0285146E-4,-0.0016231562,-0.039531708
android.sensor.gyroscope,1523856382716,1476728973895993,-0.0095294975,-0.0027227136,-0.067631505
android.sensor.gyroscope,1523856382736,1476728993886618,-0.007906342,-0.002443461,-0.06789331
android.sensor.gyroscope,1523856382756,1476729013910055,0.0,0.0,0.0
android.sensor.gyroscope,1523856382776,1476729033899118,0.0,0.0,0.0
android.sensor.gyroscope,1523856382796,1476729053891305,0.0,0.0,0.0
android.sensor.gyroscope,1523856382816,1476729073913180,0.0,0.0,0.0
android.sensor.gyroscope,1523856382836,1476729093903805,0.0,0.0,0.0
android.sensor.gyroscope,1523856382856,1476729113895993,0.0,0.0,0.0
android.sensor.gyroscope,1523856382876,1476729133917868,0.0,0.0,0.0
android.sensor.gyroscope,1523856382896,1476729153906930,0.0,0.0,0.0
android.sensor.gyroscope,1523856382916,1476729173899118,0.0,0.0,0.0
android.sensor.gyroscope,1523856382936,1476729193889743,0.0,0.0,0.0
android.sensor.gyroscope,1523856382956,1476729213911618,0.0,0.0,0.0
android.sensor.gyroscope,1523856382976,1476729233903805,0.0,0.0,0.0
android.sensor.gyroscope,1523856382996,1476729253894430,0.0,0.0,0.0
android.sensor.gyroscope,1523856383016,1476729273916305,0.0,0.0,0.0
android.sensor.gyroscope,1523856383037,1476729293906930,-0.00572468,-0.002984513,0.038990654
android.sensor.gyroscope,1523856383057,1476729313899118,-0.00572468,-0.002984513,0.038990654
android.sensor.gyroscope,1523856383077,1476729333889743,-0.00816814,-0.00408407,0.05534439
android.sensor.gyroscope,1523856383097,1476729353911618,-0.005986479,-0.002443461,0.038990654
android.sensor.gyroscope,1523856383117,1476729373902243,0.0,0.0,0.0
android.sensor.gyroscope,1523856383138,1476729393892868,-0.0051661744,-0.0021816615,0.055902895
android.sensor.gyroscope,1523856383157,1476729413916305,-0.0051661744,-0.0019024089,0.055902895
android.sensor.gyroscope,1523856383177,1476729433906930,-0.002443461,-8.0285146E-4,0.039531708
android.sensor.gyroscope,1523856383197,1476729453897555,-0.0038048178,-0.0010821042,0.055902895
android.sensor.gyroscope,1523856383217,1476729473888180,-0.0035430184,-0.0010821042,0.056164697
android.sensor.gyroscope,1523856383237,1476729493910055,-0.002443461,-5.410521E-4,0.039531708
android.sensor.gyroscope,1523856383257,1476729513900680,0.0,0.0,0.0
android.sensor.gyroscope,1523856383277,1476729533892868,0.0,0.0,0.0
android.sensor.gyroscope,1523856383297,1476729553914743,0.0,0.0,0.0
android.sensor.gyroscope,1523856383316,1476729573905368,0.0,0.0,0.0
android.sensor.gyroscope,1523856383337,1476729593895993,0.0,0.0,0.0
android.sensor.gyroscope,1523856383356,1476729613888180,0.0,0.0,0.0
android.sensor.gyroscope,1523856383377,1476729633908493,0.0,0.0,0.0
android.sensor.gyroscope,1523856383397,1476729653899118,0.0,0.0,0.0
android.sensor.gyroscope,1523856383417,1476729673891305,0.0,0.0,0.0
android.sensor.gyroscope,1523856383436,1476729693913180,0.0,0.0,0.0
