Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523856204778,1476551033897555,5.267244,4.0414124,7.249643
android.sensor.accelerometer,1523856204794,1476551053888180,5.5162406,3.9743748,7.1730285
android.sensor.accelerometer,1523856204814,1476551073910055,5.746084,4.098873,7.067683
android.sensor.accelerometer,1523856204834,1476551093900680,5.6215854,4.0222588,7.067683
android.sensor.accelerometer,1523856204854,1476551113892868,5.813122,4.0222588,7.383718
android.sensor.accelerometer,1523856204874,1476551133914743,6.0621185,3.916914,7.393295
android.sensor.accelerometer,1523856204894,1476551153905368,6.0525417,3.916914,6.9048777
android.sensor.accelerometer,1523856204914,1476551173895993,5.7843914,3.964798,6.9527617
android.sensor.accelerometer,1523856204934,1476551193888180,5.6982,3.916914,7.201759
android.sensor.accelerometer,1523856204954,1476551213910055,5.5258174,3.8402996,7.345411
android.sensor.accelerometer,1523856204974,1476551233899118,5.583278,3.9073372,7.1251445
android.sensor.accelerometer,1523856204994,1476551253891305,5.6982,3.964798,6.8761473
android.sensor.accelerometer,1523856205014,1476551273913180,6.1866174,3.964798,6.943185
android.sensor.accelerometer,1523856205034,1476551293905368,6.742072,3.964798,6.751649
android.sensor.accelerometer,1523856205054,1476551313895993,6.7133417,3.9360676,6.6654577
android.sensor.accelerometer,1523856205074,1476551333917868,7.153875,4.012682,6.981492
android.sensor.accelerometer,1523856205094,1476551353908493,7.6231384,3.9073372,6.5696893
android.sensor.accelerometer,1523856205114,1476551373899118,8.379706,3.8307228,6.493075
android.sensor.accelerometer,1523856205134,1476551393891305,10.04607,3.86903,6.196194
android.sensor.accelerometer,1523856205154,1476551413913180,11.224017,3.763685,5.8705826
android.sensor.accelerometer,1523856205174,1476551433902243,11.702858,3.6104562,5.353435
android.sensor.accelerometer,1523856205194,1476551453894430,11.932701,3.169923,4.606444
android.sensor.accelerometer,1523856205214,1476551473917868,12.0571995,2.3750482,4.76925
android.sensor.accelerometer,1523856205234,1476551493908493,13.340492,2.183512,6.157887
android.sensor.accelerometer,1523856205254,1476551513899118,14.777013,2.183512,5.7843914
android.sensor.accelerometer,1523856205274,1476551533889743,14.259866,2.2218192,4.8362875
android.sensor.accelerometer,1523856205294,1476551553911618,14.805743,2.1930888,3.6104562
android.sensor.accelerometer,1523856205314,1476551573902243,15.351622,1.7908629,3.4859576
android.sensor.accelerometer,1523856205334,1476551593892868,15.753847,1.6663644,3.0933087
android.sensor.accelerometer,1523856205354,1476551613916305,15.677233,1.532289,2.384625
