Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523856204771,1476551013906930,-0.03981096,-0.12243485,0.018535396
android.sensor.gyroscope,1523856204778,1476551033897555,-0.037891097,-0.11588986,0.017453292
android.sensor.gyroscope,1523856204796,1476551053888180,-0.037350047,-0.09707521,0.0051661744
android.sensor.gyroscope,1523856204816,1476551073910055,-0.044436082,-0.0935322,-0.0109083075
android.sensor.gyroscope,1523856204836,1476551093900680,-0.053721234,-0.10934488,-0.018256145
android.sensor.gyroscope,1523856204856,1476551113892868,-0.053441983,-0.10908308,-0.020176006
android.sensor.gyroscope,1523856204876,1476551133914743,-0.055902895,-0.11534881,-0.022357667
android.sensor.gyroscope,1523856204896,1476551153905368,-0.057805303,-0.10826277,-0.011711159
android.sensor.gyroscope,1523856204916,1476551173895993,-0.07335619,-0.12843879,-0.03544764
android.sensor.gyroscope,1523856204936,1476551193888180,-0.080721475,-0.14889404,-0.059707712
android.sensor.gyroscope,1523856204956,1476551213910055,-0.08208284,-0.14479251,-0.05508259
android.sensor.gyroscope,1523856204976,1476551233899118,-0.084264494,-0.14425147,-0.053162728
android.sensor.gyroscope,1523856204996,1476551253891305,-0.07826056,-0.13308136,-0.048537605
android.sensor.gyroscope,1523856205016,1476551273913180,-0.07035422,-0.11588986,-0.038449604
android.sensor.gyroscope,1523856205036,1476551293905368,-0.08208284,-0.13034119,-0.04907866
android.sensor.gyroscope,1523856205056,1476551313895993,-0.09107128,-0.13662437,-0.048258353
android.sensor.gyroscope,1523856205076,1476551333917868,-0.0951728,-0.14316936,-0.052080624
android.sensor.gyroscope,1523856205096,1476551353908493,-0.10798352,-0.17097245,-0.049898963
android.sensor.gyroscope,1523856205116,1476551373899118,-0.12679817,-0.20833996,-0.059166662
android.sensor.gyroscope,1523856205136,1476551393891305,-0.17833774,-0.2912431,-0.092170835
android.sensor.gyroscope,1523856205156,1476551413913180,-0.2353402,-0.3905174,-0.12515756
android.sensor.gyroscope,1523856205176,1476551433902243,-0.2956064,-0.49385837,-0.15161675
android.sensor.gyroscope,1523856205196,1476551453894430,-0.35096827,-0.6032207,-0.16580628
android.sensor.gyroscope,1523856205216,1476551473917868,-0.39978513,-0.7022158,-0.16224581
android.sensor.gyroscope,1523856205236,1476551493908493,-0.44860196,-0.7968475,-0.13526301
android.sensor.gyroscope,1523856205256,1476551513899118,-0.50750685,-0.91738,-0.08644616
android.sensor.gyroscope,1523856205276,1476551533889743,-0.53258723,-0.99427915,-0.0376293
android.sensor.gyroscope,1523856205296,1476551553911618,-0.5304056,-1.0319259,-0.0054454273
android.sensor.gyroscope,1523856205316,1476551573902243,-0.5462182,-1.1074637,0.046076693
