Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523856337834,1476684093895993,-2.384625,7.1730285,6.215348
android.sensor.accelerometer,1523856337854,1476684113886618,-2.4420857,7.0581064,6.4547677
android.sensor.accelerometer,1523856337874,1476684133908493,-2.432509,7.019799,6.6175733
android.sensor.accelerometer,1523856337894,1476684153899118,-2.528277,7.1155677,6.4547677
android.sensor.accelerometer,1523856337914,1476684173891305,-2.5570073,7.0964136,6.291962
android.sensor.accelerometer,1523856337934,1476684193913180,-2.4516625,7.0964136,6.205771
android.sensor.accelerometer,1523856337954,1476684213903805,-2.4612393,7.1347213,6.253655
android.sensor.accelerometer,1523856337974,1476684233894430,-2.4516625,7.0964136,6.253655
android.sensor.accelerometer,1523856337994,1476684253916305,-2.585738,7.1347213,6.215348
android.sensor.accelerometer,1523856338014,1476684273908493,-2.6240451,7.1347213,6.196194
android.sensor.accelerometer,1523856338034,1476684293899118,-2.528277,7.2209125,6.2345014
android.sensor.accelerometer,1523856338054,1476684313889743,-2.336741,7.345411,6.2823853
android.sensor.accelerometer,1523856338074,1476684333911618,-2.3080103,7.326257,6.5026517
android.sensor.accelerometer,1523856338094,1476684353902243,-2.2888567,7.3549876,6.435614
android.sensor.accelerometer,1523856338114,1476684373894430,-2.27928,7.52737,6.349423
android.sensor.accelerometer,1523856338134,1476684393916305,-2.1260512,8.0445175,6.3589997
android.sensor.accelerometer,1523856338154,1476684413906930,-2.2601264,8.283937,6.0621185
android.sensor.accelerometer,1523856338174,1476684433897555,-2.3750482,8.264784,6.349423
android.sensor.accelerometer,1523856338194,1476684453888180,-2.6144683,8.322245,7.4028716
android.sensor.accelerometer,1523856338214,1476684473911618,-2.9879637,8.226477,7.2304893
android.sensor.accelerometer,1523856338234,1476684493902243,-3.514688,7.6710224,7.8050976
android.sensor.accelerometer,1523856338254,1476684513892868,-3.5625722,7.1347213,8.772355
android.sensor.accelerometer,1523856338274,1476684533914743,-3.0454245,6.5026517,9.040505
android.sensor.accelerometer,1523856338294,1476684553905368,-1.9728222,6.6750345,8.628703
android.sensor.accelerometer,1523856338314,1476684573897555,-1.9919758,6.349423,7.680599
android.sensor.accelerometer,1523856338334,1476684593888180,-1.9919758,5.449203,7.824251
android.sensor.accelerometer,1523856338354,1476684613910055,-2.0398598,3.8594532,9.80665
android.sensor.accelerometer,1523856338374,1476684633900680,-1.6759412,2.0973208,12.727576
android.sensor.accelerometer,1523856338394,1476684653892868,-1.9536686,0.7661445,15.8304615
android.sensor.accelerometer,1523856338414,1476684673914743,-3.1890767,0.19153613,16.998833
android.sensor.accelerometer,1523856338434,1476684693905368,-4.5298295,-0.30645782,17.161638
android.sensor.accelerometer,1523856338454,1476684713895993,-5.90889,-0.22026655,16.232687
android.sensor.accelerometer,1523856338474,1476684733886618,-5.746084,-0.641646,14.5759
android.sensor.accelerometer,1523856338494,1476684753908493,-4.4436383,-1.3694834,14.326903
android.sensor.accelerometer,1523856338514,1476684773899118,-2.2697031,-3.1507695,17.860744
android.sensor.accelerometer,1523856338534,1476684793891305,-1.8483237,-4.10845,17.142485
android.sensor.accelerometer,1523856338554,1476684813913180,-2.2505496,-4.8267107,17.78413
android.sensor.accelerometer,1523856338574,1476684833903805,-3.3039982,-4.8841715,18.100164
android.sensor.accelerometer,1523856338594,1476684853894430,-4.0222588,-4.3287168,16.845604
android.sensor.accelerometer,1523856338614,1476684873916305,-2.930503,-4.606444,14.84405
android.sensor.accelerometer,1523856338634,1476684893908493,-0.89064306,-5.171476,13.742718
android.sensor.accelerometer,1523856338654,1476684913899118,1.541866,-6.435614,12.938266
android.sensor.accelerometer,1523856338674,1476684933889743,2.9975405,-7.3071036,12.401965
android.sensor.accelerometer,1523856338694,1476684953911618,3.016694,-7.680599,10.994174
android.sensor.accelerometer,1523856338714,1476684973903805,2.8538885,-8.418014,9.461885
android.sensor.accelerometer,1523856338734,1476684993894430,2.0111294,-8.360553,6.789956
android.sensor.accelerometer,1523856338754,1476685013916305,3.3039982,-9.011775,5.2863975
android.sensor.accelerometer,1523856338774,1476685033906930,3.2944214,-9.825804,5.7843914
android.sensor.accelerometer,1523856338794,1476685053897555,1.934515,-11.434708,6.5026517
android.sensor.accelerometer,1523856338814,1476685073889743,0.51714754,-12.603078,4.10845
android.sensor.accelerometer,1523856338834,1476685093911618,1.2066777,-14.326903,-2.6527755
android.sensor.accelerometer,1523856338854,1476685113902243,5.659893,-14.12579,-5.410896
android.sensor.accelerometer,1523856338874,1476685133892868,8.772355,-12.277467,-7.7189064
android.sensor.accelerometer,1523856338894,1476685153916305,7.479486,-9.854534,-13.962984
android.sensor.accelerometer,1523856338914,1476685173906930,4.548983,-7.489063,-15.763424
android.sensor.accelerometer,1523856338934,1476685193897555,3.1986535,-5.6982,-14.326903
android.sensor.accelerometer,1523856338954,1476685213888180,2.5187001,-2.9592333,-18.330008
android.sensor.accelerometer,1523856338974,1476685233910055,4.2042184,-1.541866,-21.89258
android.sensor.accelerometer,1523856338994,1476685253900680,6.6367273,2.030283,-20.925323
android.sensor.accelerometer,1523856339014,1476685273892868,4.098873,2.920926,-17.33402
android.sensor.accelerometer,1523856339035,1476685293914743,-1.0726024,3.2848446,-7.489063
android.sensor.accelerometer,1523856339055,1476685313905368,-0.9768343,1.4077905,-6.789956
android.sensor.accelerometer,1523856339075,1476685333895993,1.2258313,-0.5650316,-14.326903
android.sensor.accelerometer,1523856339095,1476685353886618,-0.62249243,2.777274,-17.00841
android.sensor.accelerometer,1523856339115,1476685373910055,-0.15322891,3.3423057,-12.785037
android.sensor.accelerometer,1523856339135,1476685393900680,-1.091756,2.7581203,-8.973468
android.sensor.accelerometer,1523856339155,1476685413891305,8.7053175,4.2521024,-15.399506
android.sensor.accelerometer,1523856339175,1476685433913180,10.994174,5.1140146,-19.52711
android.sensor.accelerometer,1523856339195,1476685453905368,11.415554,4.0414124,-17.803284
android.sensor.accelerometer,1523856339215,1476685473894430,11.358093,4.6351743,-12.880805
android.sensor.accelerometer,1523856339235,1476685493917868,14.250289,4.3957543,-8.063671
android.sensor.accelerometer,1523856339255,1476685513908493,15.418659,4.146757,-6.3685765
android.sensor.accelerometer,1523856339275,1476685533899118,14.489709,3.4380736,-9.576807
android.sensor.accelerometer,1523856339295,1476685553889743,11.224017,3.4859576,-12.354081
android.sensor.accelerometer,1523856339315,1476685573913180,9.950302,3.217807,-13.819332
android.sensor.accelerometer,1523856339334,1476685593903805,10.237606,2.480393,-11.626244
android.sensor.accelerometer,1523856339354,1476685613894430,9.883265,2.7006595,-7.345411
android.sensor.accelerometer,1523856339374,1476685633916305,9.414001,2.6527755,-4.4915223
android.sensor.accelerometer,1523856339394,1476685653906930,8.532935,2.3942018,-3.964798
android.sensor.accelerometer,1523856339414,1476685673897555,9.136273,2.8443117,-4.855441
android.sensor.accelerometer,1523856339434,1476685693889743,9.500193,2.930503,-4.55856
android.sensor.accelerometer,1523856339454,1476685713911618,9.270349,2.1547816,-3.5625722
android.sensor.accelerometer,1523856339474,1476685733902243,10.390836,2.2888567,-4.912902
android.sensor.accelerometer,1523856339494,1476685753892868,9.624691,2.4708161,-5.90889
android.sensor.accelerometer,1523856339514,1476685773916305,7.795521,2.087744,-5.5737014
android.sensor.accelerometer,1523856339534,1476685793906930,7.1059904,1.7717092,-2.825158
android.sensor.accelerometer,1523856339554,1476685813897555,7.97748,1.5801731,-3.821146
android.sensor.accelerometer,1523856339574,1476685833888180,8.389283,1.3215994,-4.548983
android.sensor.accelerometer,1523856339594,1476685853910055,6.1004257,1.1971009,-4.462792
android.sensor.accelerometer,1523856339614,1476685873900680,8.0445175,1.7429788,-17.832014
android.sensor.accelerometer,1523856339634,1476685893892868,7.240066,2.0590134,-10.429143
android.sensor.accelerometer,1523856339654,1476685913914743,6.5122285,-0.48841715,-3.7924154
