Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523856358236,1476704493899118,-0.04145157,-0.038990654,-0.03817035
android.sensor.gyroscope,1523856358256,1476704513889743,-0.05235988,-0.026441738,-0.03544764
android.sensor.gyroscope,1523856358276,1476704533911618,-0.05808456,-0.0095294975,-0.034906585
android.sensor.gyroscope,1523856358296,1476704553902243,-0.04171337,0.0013613568,-0.0376293
android.sensor.gyroscope,1523856358316,1476704573894430,-0.0659909,0.023998277,-0.07689921
android.sensor.gyroscope,1523856358336,1476704593916305,-0.06981317,0.04145157,-0.09271189
android.sensor.gyroscope,1523856358356,1476704613906930,-0.07035422,0.046617743,-0.08998918
android.sensor.gyroscope,1523856358376,1476704633897555,-0.08752826,0.03190462,-0.10580186
android.sensor.gyroscope,1523856358396,1476704653889743,-0.09107128,0.014451326,-0.12625712
android.sensor.gyroscope,1523856358416,1476704673911618,-0.11206759,-2.6179937E-4,-0.17097245
android.sensor.gyroscope,1523856358436,1476704693902243,-0.12543681,-0.014451326,-0.20561723
android.sensor.gyroscope,1523856358456,1476704713892868,-0.13824753,-0.028082348,-0.24134412
android.sensor.gyroscope,1523856358476,1476704733914743,-0.14425147,-0.03626794,-0.26234043
android.sensor.gyroscope,1523856358496,1476704753905368,-0.15271631,-0.045814894,-0.28934067
android.sensor.gyroscope,1523856358516,1476704773895993,-0.16062266,-0.055902895,-0.31169835
android.sensor.gyroscope,1523856358536,1476704793888180,-0.16770868,-0.06544985,-0.33105406
android.sensor.gyroscope,1523856358556,1476704813910055,-0.17371263,-0.0943525,-0.34360296
android.sensor.gyroscope,1523856358576,1476704833900680,-0.1895253,-0.1308997,-0.3736052
android.sensor.gyroscope,1523856358596,1476704853891305,-0.20397663,-0.16252506,-0.4046895
android.sensor.gyroscope,1523856358616,1476704873913180,-0.20343557,-0.1696111,-0.40851176
android.sensor.gyroscope,1523856358636,1476704893905368,-0.2080607,-0.1437104,-0.45078364
android.sensor.gyroscope,1523856358656,1476704913895993,-0.22607249,-0.10634291,-0.5369505
android.sensor.gyroscope,1523856358676,1476704933886618,-0.23424064,-0.061889376,-0.613588
android.sensor.gyroscope,1523856358696,1476704953908493,-0.23424064,-0.06352998,-0.6853035
android.sensor.gyroscope,1523856358716,1476704973900680,-0.23043582,-0.09162979,-0.7717497
android.sensor.gyroscope,1523856358736,1476704993891305,-0.24216443,-0.14289011,-0.9135577
android.sensor.gyroscope,1523856358756,1476705013913180,-0.27515116,-0.20587903,-1.0951941
android.sensor.gyroscope,1523856358776,1476705033903805,-0.31714377,-0.24596925,-1.3002703
android.sensor.gyroscope,1523856358796,1476705053895993,-0.330513,-0.26670375,-1.4317111
android.sensor.gyroscope,1523856358816,1476705073917868,-0.34660494,-0.2877001,-1.569976
android.sensor.gyroscope,1523856358837,1476705093908493,-0.3946015,-0.32805207,-1.7573197
android.sensor.gyroscope,1523856358856,1476705113899118,-0.48076838,-0.3681423,-2.0131152
android.sensor.gyroscope,1523856358876,1476705133889743,-0.56423,-0.3937812,-2.2146482
android.sensor.gyroscope,1523856358896,1476705153913180,-0.630762,-0.42024037,-2.401189
android.sensor.gyroscope,1523856358916,1476705173903805,-0.6913075,-0.42514476,-2.5375342
android.sensor.gyroscope,1523856358936,1476705193894430,-0.7502123,-0.42296308,-2.6340683
android.sensor.gyroscope,1523856358956,1476705213916305,-0.8194844,-0.4183205,-2.710985
android.sensor.gyroscope,1523856358976,1476705233906930,-0.9002059,-0.39678314,-2.7393465
android.sensor.gyroscope,1523856358996,1476705253897555,-0.9863728,-0.3790506,-2.7415283
android.sensor.gyroscope,1523856359016,1476705273888180,-1.1153702,-0.37686893,-2.7292585
android.sensor.gyroscope,1523856359038,1476705293911618,-1.2577192,-0.38233182,-2.6747172
android.sensor.gyroscope,1523856359057,1476705313902243,-1.4142578,-0.36514032,-2.5481806
android.sensor.gyroscope,1523856359077,1476705333892868,-1.6016014,-0.3010693,-2.365462
android.sensor.gyroscope,1523856359098,1476705353916305,-1.8088592,-0.26914722,-2.1647494
android.sensor.gyroscope,1523856359117,1476705373906930,-2.0532053,-0.35833356,-1.9784877
android.sensor.gyroscope,1523856359138,1476705393897555,-2.2500958,-0.58548814,-1.8009529
android.sensor.gyroscope,1523856359157,1476705413888180,-2.6259003,-0.9809274,-1.5909723
android.sensor.gyroscope,1523856359177,1476705433911618,-3.1884897,-1.4840709,-1.214627
android.sensor.gyroscope,1523856359197,1476705453900680,-3.8683476,-2.1025631,-0.5699547
android.sensor.gyroscope,1523856359217,1476705473892868,-4.429576,-3.1290438,0.20207421
android.sensor.gyroscope,1523856359237,1476705493914743,-4.567579,-4.5866556,0.62831855
android.sensor.gyroscope,1523856359257,1476705513905368,-4.8121867,-6.7530456,0.5644918
android.sensor.gyroscope,1523856359276,1476705533895993,-4.636572,-7.3134704,0.17697638
android.sensor.gyroscope,1523856359296,1476705553886618,-4.3698683,-7.1989245,-0.13716543
android.sensor.gyroscope,1523856359316,1476705573910055,-4.165333,-6.9087634,-0.36569884
android.sensor.gyroscope,1523856359336,1476705593899118,-3.9627001,-6.487162,-0.5083271
