Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523856247194,1476593453888180,8.0445175,-3.2273839,4.5202527
android.sensor.accelerometer,1523856247214,1476593473910055,7.967903,-3.2848446,4.5777135
android.sensor.accelerometer,1523856247234,1476593493900680,8.025364,-3.1794999,4.462792
android.sensor.accelerometer,1523856247254,1476593513892868,8.015787,-2.9975405,4.2999864
android.sensor.accelerometer,1523856247274,1476593533913180,8.274361,-3.0550013,4.462792
android.sensor.accelerometer,1523856247294,1476593553905368,8.341399,-3.1794999,4.654328
android.sensor.accelerometer,1523856247314,1476593573895993,8.293514,-3.265691,4.462792
android.sensor.accelerometer,1523856247334,1476593593886618,8.130709,-3.2465374,4.2999864
android.sensor.accelerometer,1523856247354,1476593613908493,8.073248,-3.2848446,4.3861775
android.sensor.accelerometer,1523856247374,1476593633900680,8.101978,-3.2561142,4.4915223
android.sensor.accelerometer,1523856247394,1476593653891305,8.283937,-3.217807,4.453215
android.sensor.accelerometer,1523856247414,1476593673913180,8.015787,-3.1507695,4.367024
android.sensor.accelerometer,1523856247434,1476593693903805,7.4603324,-3.122039,4.711789
android.sensor.accelerometer,1523856247454,1476593713894430,7.431602,-3.3039982,4.8362875
android.sensor.accelerometer,1523856247474,1476593733917868,7.1634517,-3.1794999,4.903325
android.sensor.accelerometer,1523856247494,1476593753908493,7.2113357,-2.9592333,5.793968
android.sensor.accelerometer,1523856247514,1476593773899118,7.469909,-2.9017725,7.1059904
android.sensor.accelerometer,1523856247534,1476593793889743,8.025364,-3.3997664,7.9583263
android.sensor.accelerometer,1523856247554,1476593813911618,7.680599,-3.5338416,7.833828
android.sensor.accelerometer,1523856247574,1476593833902243,6.847417,-3.620033,6.655881
android.sensor.accelerometer,1523856247595,1476593853894430,5.8226986,-3.3901896,7.7667904
android.sensor.accelerometer,1523856247614,1476593873916305,5.813122,-4.012682,9.854534
android.sensor.accelerometer,1523856247634,1476593893908493,6.2632318,-4.309563,11.664551
android.sensor.accelerometer,1523856247654,1476593913897555,6.751649,-4.6830587,12.11466
android.sensor.accelerometer,1523856247674,1476593933889743,7.785944,-5.4683566,11.042058
android.sensor.accelerometer,1523856247694,1476593953911618,8.437167,-5.995081,9.921572
android.sensor.accelerometer,1523856247714,1476593973902243,7.776367,-5.717354,9.5385
android.sensor.accelerometer,1523856247734,1476593993892868,7.5465236,-6.435614,9.969456
android.sensor.accelerometer,1523856247754,1476594013914743,7.8625584,-7.07726,10.697293
android.sensor.accelerometer,1523856247774,1476594033906930,8.025364,-7.565677,10.448297
android.sensor.accelerometer,1523856247794,1476594053897555,7.8912888,-8.293514,9.9790325
android.sensor.accelerometer,1523856247814,1476594073888180,7.8529816,-8.465898,9.624691
android.sensor.accelerometer,1523856247834,1476594093910055,8.00621,-8.523358,9.356541
android.sensor.accelerometer,1523856247854,1476594113900680,8.274361,-9.030929,9.165004
android.sensor.accelerometer,1523856247874,1476594133891305,7.9008656,-9.279925,9.299079
android.sensor.accelerometer,1523856247894,1476594153914743,8.599973,-9.624691,10.534488
android.sensor.accelerometer,1523856247914,1476594173905368,9.059659,-9.720459,11.789049
android.sensor.accelerometer,1523856247934,1476594193895993,9.308656,-10.927136,10.936713
android.sensor.accelerometer,1523856247954,1476594213888180,10.113108,-10.860099,9.720459
android.sensor.accelerometer,1523856247974,1476594233910055,10.812215,-11.176133,7.967903
android.sensor.accelerometer,1523856247994,1476594253899118,9.710882,-10.065224,10.113108
android.sensor.accelerometer,1523856248014,1476594273891305,11.099519,-9.873688,15.140931
android.sensor.accelerometer,1523856248034,1476594293913180,15.05474,-11.559206,17.496826
android.sensor.accelerometer,1523856248054,1476594313903805,18.397045,-14.326903,13.474567
android.sensor.accelerometer,1523856248074,1476594333895993,18.818426,-16.050728,8.695741
android.sensor.accelerometer,1523856248094,1476594353917868,18.23424,-17.046717,4.817134
android.sensor.accelerometer,1523856248114,1476594373908493,15.8783455,-15.552734,2.9017725
android.sensor.accelerometer,1523856248134,1476594393899118,14.030022,-13.761871,1.7525556
android.sensor.accelerometer,1523856248154,1476594413889743,12.210428,-11.042058,-0.8810662
android.sensor.accelerometer,1523856248174,1476594433911618,9.701305,-7.393295,-3.9360676
android.sensor.accelerometer,1523856248194,1476594453903805,5.171476,-3.4093432,-7.28795
android.sensor.accelerometer,1523856248214,1476594473894430,0.842759,0.24899697,-11.348516
android.sensor.accelerometer,1523856248234,1476594493916305,1.7142484,2.7581203,-6.981492
android.sensor.accelerometer,1523856248254,1476594513906930,3.3135753,3.7828386,-3.3039982
android.sensor.accelerometer,1523856248274,1476594533897555,3.5529952,4.271256,-0.7278373
