Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523856254378,1476600633914743,-0.13470452,0.07335619,-0.050981067
android.sensor.gyroscope,1523856254396,1476600653905368,-0.14643313,0.07826056,-0.05644395
android.sensor.gyroscope,1523856254416,1476600673895993,-0.14643313,0.07853982,-0.056164697
android.sensor.gyroscope,1523856254436,1476600693886618,-0.15351915,0.08152433,-0.059166662
android.sensor.gyroscope,1523856254456,1476600713908493,-0.13798574,0.067073,-0.05126032
android.sensor.gyroscope,1523856254476,1476600733900680,-0.12243485,0.051539574,-0.047438048
android.sensor.gyroscope,1523856254496,1476600753891305,-0.1311615,0.057526052,-0.05126032
android.sensor.gyroscope,1523856254516,1476600773913180,-0.1311615,0.06026622,-0.048258353
android.sensor.gyroscope,1523856254536,1476600793905368,-0.13416345,0.06270968,-0.049619712
android.sensor.gyroscope,1523856254556,1476600813895993,-0.13852678,0.06544985,-0.051801372
android.sensor.gyroscope,1523856254576,1476600833917868,-0.11861257,0.049898963,-0.042533673
android.sensor.gyroscope,1523856254596,1476600853908493,-0.11616912,0.04225442,-0.040631264
android.sensor.gyroscope,1523856254616,1476600873899118,-0.095434606,0.027262043,-0.031625368
android.sensor.gyroscope,1523856254637,1476600893891305,-0.07253588,0.0051661744,-0.0283616
android.sensor.gyroscope,1523856254656,1476600913911618,-0.07007497,-0.0010821042,-0.03408628
android.sensor.gyroscope,1523856254676,1476600933903805,-0.0659909,-0.010349803,-0.040072758
android.sensor.gyroscope,1523856254696,1476600953894430,-0.04553564,-0.0035430184,-0.032724924
android.sensor.gyroscope,1523856254716,1476600973916305,-0.051801372,-0.0013613568,-0.044715334
android.sensor.gyroscope,1523856254736,1476600993906930,-0.03981096,0.0095294975,-0.038449604
android.sensor.gyroscope,1523856254756,1476601013899118,-0.059166662,0.017994344,-0.047717303
android.sensor.gyroscope,1523856254776,1476601033889743,-0.054803338,0.016353736,-0.037350047
android.sensor.gyroscope,1523856254796,1476601053911618,-0.053721234,0.029443704,-0.030543262
android.sensor.gyroscope,1523856254816,1476601073902243,-0.07798131,0.071174525,-0.034627333
android.sensor.gyroscope,1523856254836,1476601093894430,-0.16498597,0.1903456,-0.06653195
android.sensor.gyroscope,1523856254856,1476601113916305,-0.28988174,0.3697829,-0.12733923
android.sensor.gyroscope,1523856254876,1476601133906930,-0.43251005,0.5612281,-0.1903456
android.sensor.gyroscope,1523856254896,1476601153897555,-0.5315051,0.6973114,-0.23561946
android.sensor.gyroscope,1523856254916,1476601173888180,-0.6250373,0.8227482,-0.28169614
android.sensor.gyroscope,1523856254936,1476601193911618,-0.7758512,1.0152755,-0.33569664
android.sensor.gyroscope,1523856254956,1476601213900680,-1.1050029,1.4243457,-0.48949504
android.sensor.gyroscope,1523856254976,1476601233891305,-1.2579985,1.6307833,-0.59885734
android.sensor.gyroscope,1523856254996,1476601253916305,-1.3798922,1.7903239,-0.67957884
android.sensor.gyroscope,1523856255016,1476601273905368,-1.4289883,1.8685844,-0.7308566
android.sensor.gyroscope,1523856255037,1476601293895993,-1.4036112,1.8372208,-0.72130966
android.sensor.gyroscope,1523856255057,1476601313888180,-1.4000682,1.8162246,-0.7174874
android.sensor.gyroscope,1523856255077,1476601333910055,-1.3910798,1.8020525,-0.7109424
android.sensor.gyroscope,1523856255098,1476601353900680,-1.4947,1.9514875,-0.769568
android.sensor.gyroscope,1523856255118,1476601373891305,-1.4944382,2.0218418,-0.81484187
android.sensor.gyroscope,1523856255139,1476601393913180,-1.4396174,1.9850328,-0.79194313
android.sensor.gyroscope,1523856255158,1476601413903805,-1.3698043,1.9086746,-0.7534761
