Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523856468556,1476814813892868,8.1402855,-4.261679,3.2561142
android.sensor.accelerometer,1523856468574,1476814833914743,8.236053,-4.2904096,3.0933087
android.sensor.accelerometer,1523856468594,1476814853905368,8.331821,-4.3287168,2.9400797
android.sensor.accelerometer,1523856468614,1476814873895993,8.264784,-4.3957543,2.9017725
android.sensor.accelerometer,1523856468634,1476814893888180,7.9583263,-4.4819455,3.1507695
android.sensor.accelerometer,1523856468654,1476814913910055,7.920019,-4.501099,3.7062242
android.sensor.accelerometer,1523856468674,1476814933899118,8.00621,-4.5681367,3.6966474
android.sensor.accelerometer,1523856468694,1476814953891305,7.843405,-4.501099,3.4093432
android.sensor.accelerometer,1523856468714,1476814973913180,7.9104424,-4.3766007,3.169923
android.sensor.accelerometer,1523856468734,1476814993903805,8.226477,-4.4244847,3.1603463
android.sensor.accelerometer,1523856468754,1476815013895993,8.264784,-4.3957543,3.0262709
android.sensor.accelerometer,1523856468774,1476815033917868,8.178593,-4.261679,2.9017725
android.sensor.accelerometer,1523856468794,1476815053908493,8.063671,-4.2425256,2.96881
android.sensor.accelerometer,1523856468814,1476815073899118,8.121132,-4.3382936,3.217807
android.sensor.accelerometer,1523856468834,1476815093891305,8.1402855,-4.31914,3.217807
android.sensor.accelerometer,1523856468854,1476815113911618,8.169016,-4.3478703,3.074155
android.sensor.accelerometer,1523856468874,1476815133903805,8.111555,-4.261679,2.9879637
android.sensor.accelerometer,1523856468894,1476815153894430,8.149862,-4.2425256,2.9592333
android.sensor.accelerometer,1523856468914,1476815173917868,8.226477,-4.232949,3.1124623
android.sensor.accelerometer,1523856468934,1476815193906930,8.054094,-4.232949,3.1411927
android.sensor.accelerometer,1523856468954,1476815213899118,7.680599,-4.2999864,3.1028855
android.sensor.accelerometer,1523856468974,1476815233889743,7.4507556,-4.31914,3.2369606
android.sensor.accelerometer,1523856468994,1476815253911618,7.335834,-4.3382936,3.5434184
android.sensor.accelerometer,1523856469014,1476815273902243,6.6654577,-4.2042184,4.060566
android.sensor.accelerometer,1523856469034,1476815293894430,6.3111157,-4.2425256,4.6255975
android.sensor.accelerometer,1523856469054,1476815313916305,6.5218053,-4.6160207,4.999093
android.sensor.accelerometer,1523856469074,1476815333906930,6.9623384,-4.6926355,4.5777135
android.sensor.accelerometer,1523856469094,1476815353897555,6.943185,-4.7500963,3.8019924
android.sensor.accelerometer,1523856469114,1476815373889743,6.885724,-4.6926355,3.6966474
android.sensor.accelerometer,1523856469134,1476815393910055,6.8761473,-4.462792,3.9743748
