Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523856445942,1476792193895993,0.057805303,-0.07689921,0.040072758
android.sensor.gyroscope,1523856445956,1476792213886618,0.05454154,-0.06981317,0.037088245
android.sensor.gyroscope,1523856445976,1476792233908493,0.038990654,-0.049619712,0.026441738
android.sensor.gyroscope,1523856445996,1476792253899118,0.03926991,-0.061086524,0.028902652
android.sensor.gyroscope,1523856446016,1476792273891305,0.0376293,-0.06244788,0.027803095
android.sensor.gyroscope,1523856446036,1476792293913180,0.0376293,-0.06352998,0.025080381
android.sensor.gyroscope,1523856446056,1476792313903805,0.031084314,-0.058346357,0.018256145
android.sensor.gyroscope,1523856446076,1476792333894430,0.017453292,-0.05235988,0.010088003
android.sensor.gyroscope,1523856446096,1476792353916305,0.025080381,-0.061889376,0.014713125
android.sensor.gyroscope,1523856446116,1476792373906930,0.021537364,-0.06352998,0.013892821
android.sensor.gyroscope,1523856446136,1476792393897555,0.023177972,-0.06270968,0.014713125
android.sensor.gyroscope,1523856446156,1476792413889743,0.028082348,-0.07035422,0.01881465
android.sensor.gyroscope,1523856446176,1476792433911618,0.035168383,-0.07497934,0.0286234
android.sensor.gyroscope,1523856446196,1476792453903805,0.026441738,-0.07035422,0.02125811
android.sensor.gyroscope,1523856446216,1476792473894430,0.0021816615,-0.03926991,0.0046251225
android.sensor.gyroscope,1523856446236,1476792493916305,-0.0076270886,-0.055623643,0.0027227136
android.sensor.gyroscope,1523856446256,1476792513906930,-0.027262043,-0.027262043,-0.00816814
android.sensor.gyroscope,1523856446276,1476792533897555,-0.030264009,-0.022078415,-0.012269665
android.sensor.gyroscope,1523856446296,1476792553888180,0.0,0.0,0.0
android.sensor.gyroscope,1523856446316,1476792573911618,-0.044436082,-0.029984757,-0.016632987
android.sensor.gyroscope,1523856446336,1476792593902243,-0.039531708,-0.036529742,-0.0155334305
android.sensor.gyroscope,1523856446356,1476792613892868,-0.03817035,-0.038711403,-0.013631022
android.sensor.gyroscope,1523856446376,1476792633914743,-0.034348078,-0.07007497,0.0010821042
android.sensor.gyroscope,1523856446396,1476792653905368,-0.029984757,-0.061348323,0.0035430184
android.sensor.gyroscope,1523856446416,1476792673897555,-0.034906585,-0.05862561,0.004363323
android.sensor.gyroscope,1523856446436,1476792693888180,-0.059166662,-0.03408628,0.0051661744
android.sensor.gyroscope,1523856446456,1476792713910055,-0.04225442,0.0038048178,0.036808994
android.sensor.gyroscope,1523856446476,1476792733900680,-0.027262043,0.039531708,0.048799407
android.sensor.gyroscope,1523856446496,1476792753891305,-0.019634955,0.07826056,0.10225884
android.sensor.gyroscope,1523856446516,1476792773913180,-0.020176006,0.12407546,0.13934709
android.sensor.gyroscope,1523856446536,1476792793905368,-0.011990412,0.15543902,0.15788248
android.sensor.gyroscope,1523856446556,1476792813895993,-0.01308997,0.20479694,0.1979727
android.sensor.gyroscope,1523856446576,1476792833886618,-0.0016231562,0.24270548,0.24788912
android.sensor.gyroscope,1523856446596,1476792853908493,-0.010088003,0.28824112,0.2756922
android.sensor.gyroscope,1523856446616,1476792873899118,-0.002443461,0.3228859,0.31688198
android.sensor.gyroscope,1523856446637,1476792893891305,0.053162728,0.32178634,0.40441024
android.sensor.gyroscope,1523856446656,1476792913913180,0.103340946,0.29696777,0.4922352
android.sensor.gyroscope,1523856446676,1476792933903805,0.18980455,0.22389084,0.5999569
android.sensor.gyroscope,1523856446696,1476792953894430,0.3397807,0.10035643,0.7412064
android.sensor.gyroscope,1523856446716,1476792973917868,0.49359655,-0.0286234,0.86884236
android.sensor.gyroscope,1523856446736,1476792993908493,0.6067637,-0.12025318,0.9621127
android.sensor.gyroscope,1523856446756,1476793013897555,0.7199483,-0.19989257,1.039012
android.sensor.gyroscope,1523856446776,1476793033889743,0.8437445,-0.29806733,1.1268195
android.sensor.gyroscope,1523856446796,1476793053913180,1.0621899,-0.51841515,1.2795358
android.sensor.gyroscope,1523856446816,1476793073902243,1.4889753,-0.9372942,1.573519
android.sensor.gyroscope,1523856446836,1476793093894430,1.7472316,-1.234262,1.7376847
android.sensor.gyroscope,1523856446856,1476793113916305,1.8980455,-1.438256,1.817324
android.sensor.gyroscope,1523856446876,1476793133906930,1.8552152,-1.4892546,1.7635854
android.sensor.gyroscope,1523856446896,1476793153897555,1.623418,-1.4156191,1.5792437
android.sensor.gyroscope,1523856446916,1476793173889743,1.48161,-1.4139785,1.45543
android.sensor.gyroscope,1523856446936,1476793193910055,1.3899802,-1.4003475,1.3640795
android.sensor.gyroscope,1523856446956,1476793213902243,1.3051747,-1.3744467,1.2830788
android.sensor.gyroscope,1523856446976,1476793233892868,0.99646086,-1.2228125,1.043637
android.sensor.gyroscope,1523856446996,1476793253914743,0.72811645,-1.1071845,0.82711154
android.sensor.gyroscope,1523856447016,1476793273906930,0.65830326,-1.0804635,0.7131241
android.sensor.gyroscope,1523856447038,1476793293895993,0.65476024,-1.0989989,0.64002967
android.sensor.gyroscope,1523856447056,1476793313888180,0.56040776,-1.1251788,0.5315051
android.sensor.gyroscope,1523856447076,1476793333910055,0.4914149,-1.1600854,0.4565083
android.sensor.gyroscope,1523856447096,1476793353900680,0.45677012,-1.1887263,0.4046895
android.sensor.gyroscope,1523856447116,1476793373891305,0.48949504,-1.2350823,0.3815115
android.sensor.gyroscope,1523856447138,1476793393914743,0.49467868,-1.2585394,0.33079225
android.sensor.gyroscope,1523856447157,1476793413905368,0.53777087,-1.280356,0.2947861
android.sensor.gyroscope,1523856447176,1476793433895993,0.59913665,-1.3084384,0.27406904
android.sensor.gyroscope,1523856447196,1476793453888180,0.65503955,-1.3635385,0.26670375
android.sensor.gyroscope,1523856447216,1476793473910055,0.6294006,-1.4385178,0.24678956
android.sensor.gyroscope,1523856447236,1476793493899118,0.58032197,-1.5181572,0.21080087
android.sensor.gyroscope,1523856447257,1476793513891305,0.6463129,-1.5587884,0.20071286
android.sensor.gyroscope,1523856447276,1476793533913180,0.73357934,-1.5781442,0.2086192
android.sensor.gyroscope,1523856447296,1476793553903805,0.8232893,-1.583066,0.21134192
android.sensor.gyroscope,1523856447316,1476793573894430,0.8481078,-1.5380714,0.12597786
android.sensor.gyroscope,1523856447338,1476793593917868,0.8224864,-1.5195185,0.019076448
android.sensor.gyroscope,1523856447357,1476793613908493,0.8232893,-1.5266045,-0.032166418
android.sensor.gyroscope,1523856447377,1476793633899118,0.8922996,-1.5342491,-0.06435029
android.sensor.gyroscope,1523856447396,1476793653889743,0.96755815,-1.5304269,-0.09271189
android.sensor.gyroscope,1523856447416,1476793673911618,1.0160958,-1.5121533,-0.1521578
android.sensor.gyroscope,1523856447438,1476793693903805,1.0354689,-1.5146142,-0.2271546
android.sensor.gyroscope,1523856447456,1476793713892868,1.1020008,-1.5045261,-0.2609791
android.sensor.gyroscope,1523856447476,1476793733916305,1.1298214,-1.50779,-0.30787608
android.sensor.gyroscope,1523856447497,1476793753906930,1.082907,-1.5167959,-0.38669515
android.sensor.gyroscope,1523856447516,1476793773899118,1.049641,-1.5186982,-0.45869
android.sensor.gyroscope,1523856447537,1476793793889743,1.0349104,-1.5009831,-0.5426752
android.sensor.gyroscope,1523856447556,1476793813911618,1.0043671,-1.4748032,-0.6315823
android.sensor.gyroscope,1523856447576,1476793833902243,0.91465724,-1.4756061,-0.74338806
android.sensor.gyroscope,1523856447596,1476793853892868,0.8145626,-1.488155,-0.85739297
android.sensor.gyroscope,1523856447616,1476793873914743,0.6869441,-1.5137938,-0.98801345
android.sensor.gyroscope,1523856447636,1476793893906930,0.5454154,-1.5590677,-1.1221769
android.sensor.gyroscope,1523856447656,1476793913897555,0.39950585,-1.5852476,-1.3002703
android.sensor.gyroscope,1523856447676,1476793933888180,0.2912431,-1.5557865,-1.4979812
android.sensor.gyroscope,1523856447696,1476793953910055,0.21570525,-1.4900749,-1.6689711
android.sensor.gyroscope,1523856447716,1476793973900680,0.09407324,-1.4562503,-1.8375001
android.sensor.gyroscope,1523856447737,1476793993892868,-0.060528018,-1.4592524,-2.0087519
android.sensor.gyroscope,1523856447756,1476794013914743,-0.21106267,-1.4687992,-2.141833
android.sensor.gyroscope,1523856447776,1476794033905368,-0.3864159,-1.5137938,-2.2290995
android.sensor.gyroscope,1523856447796,1476794053895993,-0.54323375,-1.4780669,-2.344466
android.sensor.gyroscope,1523856447816,1476794073888180,-0.71694636,-1.4210645,-2.4584534
android.sensor.gyroscope,1523856447837,1476794093910055,-0.78211695,-1.3048954,-2.4429023
android.sensor.gyroscope,1523856447856,1476794113900680,-0.8227482,-1.2268966,-2.3684642
android.sensor.gyroscope,1523856447876,1476794133891305,-0.9460208,-1.2026366,-2.3300145
android.sensor.gyroscope,1523856447896,1476794153913180,-1.0529222,-1.16773,-2.239746
android.sensor.gyroscope,1523856447916,1476794173905368,-1.1232765,-1.1265402,-2.1036627
android.sensor.gyroscope,1523856447937,1476794193895993,-1.1786383,-0.99291784,-1.9653978
android.sensor.gyroscope,1523856447956,1476794213917868,-1.1890055,-0.66730917,-1.8418634
android.sensor.gyroscope,1523856447976,1476794233908493,-1.1756363,0.05862561,-1.8178651
android.sensor.gyroscope,1523856447996,1476794253899118,-0.9653765,0.9225636,-1.6804204
android.sensor.gyroscope,1523856448016,1476794273891305,-0.68858474,1.4966198,-1.4262482
android.sensor.gyroscope,1523856448036,1476794293913180,-0.32724923,2.0463986,-1.0619106
android.sensor.gyroscope,1523856448056,1476794313903805,0.18380062,2.7325225,-0.560687
android.sensor.gyroscope,1523856448076,1476794333894430,0.5023232,3.063053,-0.10580186
android.sensor.gyroscope,1523856448096,1476794353916305,0.8813913,3.3616612,0.40605086
android.sensor.gyroscope,1523856448116,1476794373908493,1.1960915,3.522825,0.9070127
android.sensor.gyroscope,1523856448137,1476794393897555,1.3409015,3.4783714,1.2675453
android.sensor.gyroscope,1523856448156,1476794413889743,1.3381613,3.288846,1.5506029
android.sensor.gyroscope,1523856448176,1476794433911618,1.2656255,3.041498,1.715327
android.sensor.gyroscope,1523856448196,1476794453902243,1.1366457,2.7641652,1.7873219
android.sensor.gyroscope,1523856448216,1476794473892868,0.9577494,2.4540899,1.7925055
android.sensor.gyroscope,1523856448236,1476794493916305,0.83121306,2.2179296,1.7935876
android.sensor.gyroscope,1523856448256,1476794513906930,0.67957884,1.9874936,1.7518742
android.sensor.gyroscope,1523856448276,1476794533895993,0.44259804,1.7202314,1.6362462
android.sensor.gyroscope,1523856448296,1476794553888180,0.29696777,1.5377921,1.5386125
android.sensor.gyroscope,1523856448316,1476794573911618,0.29342476,1.4393381,1.5058875
android.sensor.gyroscope,1523856448336,1476794593902243,0.29178414,1.342804,1.4636157
android.sensor.gyroscope,1523856448356,1476794613892868,0.18188076,1.2061796,1.3613569
android.sensor.gyroscope,1523856448376,1476794633914743,-0.023177972,1.07528,1.1928104
android.sensor.gyroscope,1523856448396,1476794653905368,-0.32833135,0.9596518,0.9574702
android.sensor.gyroscope,1523856448416,1476794673895993,-0.71966904,0.86255914,0.6760358
android.sensor.gyroscope,1523856448437,1476794693888180,-1.2320802,0.80693555,0.3277903
android.sensor.gyroscope,1523856448456,1476794713910055,-1.6735963,0.8044746,0.019355701
android.sensor.gyroscope,1523856448476,1476794733902243,-2.2839203,0.83747876,-0.3779685
android.sensor.gyroscope,1523856448496,1476794753891305,-2.9250495,0.88057095,-0.7649429
android.sensor.gyroscope,1523856448516,1476794773913180,-3.501567,0.9468411,-1.1330853
android.sensor.gyroscope,1523856448536,1476794793905368,-3.8476307,1.0073692,-1.3940817
android.sensor.gyroscope,1523856448556,1476794813895993,-4.1440573,1.0600083,-1.6155117
android.sensor.gyroscope,1523856448576,1476794833886618,-4.255043,1.0646509,-1.7046806
android.sensor.gyroscope,1523856448596,1476794853908493,-4.237869,1.0381917,-1.7172295
android.sensor.gyroscope,1523856448616,1476794873899118,-4.100965,1.0008241,-1.6659691
android.sensor.gyroscope,1523856448636,1476794893891305,-3.908438,0.9359328,-1.5740601
android.sensor.gyroscope,1523856448656,1476794913913180,-3.6929946,0.8631177,-1.4753443
android.sensor.gyroscope,1523856448676,1476794933903805,-3.4554727,0.78511894,-1.3545326
android.sensor.gyroscope,1523856448696,1476794953894430,-3.1936734,0.70139545,-1.2252735
android.sensor.gyroscope,1523856448716,1476794973916305,-2.9433231,0.61004496,-1.1058232
android.sensor.gyroscope,1523856448736,1476794993908493,-2.6752582,0.51677454,-0.9708394
android.sensor.gyroscope,1523856448756,1476795013899118,-2.4120975,0.45786968,-0.8273908
android.sensor.gyroscope,1523856448776,1476795033889743,-2.1582043,0.39950585,-0.6956708
android.sensor.gyroscope,1523856448796,1476795053911618,-1.9544895,0.34306192,-0.59749603
android.sensor.gyroscope,1523856448816,1476795073902243,-1.7469524,0.28988174,-0.49713957
android.sensor.gyroscope,1523856448836,1476795093894430,-1.534511,0.26152015,-0.3836932
android.sensor.gyroscope,1523856448856,1476795113916305,-1.3471673,0.23998277,-0.2773328
android.sensor.gyroscope,1523856448876,1476795133906930,-1.1718141,0.24134412,-0.20425588
android.sensor.gyroscope,1523856448896,1476795153897555,-1.0188359,0.23343779,-0.12952088
android.sensor.gyroscope,1523856448916,1476795173888180,-0.87564915,0.2443461,-0.05454154
