Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523856497378,1476843633891305,7.431602,-4.6255975,4.510676
android.sensor.accelerometer,1523856497394,1476843653913180,7.422025,-4.644751,4.6160207
android.sensor.accelerometer,1523856497414,1476843673903805,7.422025,-4.6351743,4.5777135
android.sensor.accelerometer,1523856497434,1476843693895993,7.374141,-4.596867,4.510676
android.sensor.accelerometer,1523856497454,1476843713917868,7.431602,-4.6830587,4.5681367
android.sensor.accelerometer,1523856497474,1476843733908493,7.489063,-4.654328,4.596867
android.sensor.accelerometer,1523856497494,1476843753899118,7.4986396,-4.5872903,4.5872903
android.sensor.accelerometer,1523856497514,1476843773891305,7.489063,-4.6160207,4.4244847
android.sensor.accelerometer,1523856497534,1476843793911618,7.517793,-4.6255975,4.357447
android.sensor.accelerometer,1523856497554,1476843813903805,7.4603324,-4.6351743,4.4244847
android.sensor.accelerometer,1523856497574,1476843833894430,7.4603324,-4.673482,4.5394063
android.sensor.accelerometer,1523856497594,1476843853916305,7.4028716,-4.654328,4.4436383
android.sensor.accelerometer,1523856497614,1476843873906930,7.4028716,-4.6255975,4.405331
android.sensor.accelerometer,1523856497634,1476843893897555,7.4028716,-4.6160207,4.3478703
android.sensor.accelerometer,1523856497654,1476843913889743,7.4603324,-4.606444,4.4340615
android.sensor.accelerometer,1523856497674,1476843933911618,7.6710224,-4.6255975,4.453215
android.sensor.accelerometer,1523856497694,1476843953902243,7.5944076,-4.5872903,4.3861775
android.sensor.accelerometer,1523856497714,1476843973892868,7.690176,-4.548983,4.0797195
android.sensor.accelerometer,1523856497734,1476843993914743,7.632715,-4.4340615,4.0414124
android.sensor.accelerometer,1523856497754,1476844013906930,7.728483,-4.405331,4.2521024
android.sensor.accelerometer,1523856497774,1476844033897555,8.178593,-4.453215,4.4723687
android.sensor.accelerometer,1523856497794,1476844053888180,9.155427,-4.5872903,3.8402996
android.sensor.accelerometer,1523856497814,1476844073910055,9.471462,-4.4723687,3.7253778
android.sensor.accelerometer,1523856497834,1476844093900680,9.519346,-4.271256,4.0701427
android.sensor.accelerometer,1523856497854,1476844113892868,9.797073,-4.232949,4.0892963
android.sensor.accelerometer,1523856497874,1476844133914743,9.595961,-3.9935284,4.711789
android.sensor.accelerometer,1523856497894,1476844153905368,9.797073,-4.1946416,5.257667
android.sensor.accelerometer,1523856497914,1476844173895993,10.91756,-4.223372,5.659893
android.sensor.accelerometer,1523856497934,1476844193888180,13.43626,-3.9552212,7.393295
android.sensor.accelerometer,1523856497954,1476844213910055,14.489709,-3.2465374,6.3206925
android.sensor.accelerometer,1523856497974,1476844233899118,14.355634,-3.1124623,7.2687964
android.sensor.accelerometer,1523856497994,1476844253891305,14.480132,-3.8977604,8.552089
android.sensor.accelerometer,1523856498014,1476844273913180,14.4130945,-4.6830587,9.490616
android.sensor.accelerometer,1523856498034,1476844293903805,13.781025,-5.401319,11.520899
android.sensor.accelerometer,1523856498054,1476844313895993,13.589489,-6.435614,12.488156
android.sensor.accelerometer,1523856498074,1476844333917868,13.187263,-6.703765,11.070788
android.sensor.accelerometer,1523856498094,1476844353908493,11.836933,-7.2304893,8.2169
android.sensor.accelerometer,1523856498114,1476844373899118,12.028469,-7.4028716,7.7572136
android.sensor.accelerometer,1523856498134,1476844393891305,11.903971,-7.73806,7.5465236
android.sensor.accelerometer,1523856498154,1476844413913180,11.070788,-8.00621,7.489063
android.sensor.accelerometer,1523856498174,1476844433903805,11.137826,-8.24563,7.393295
android.sensor.accelerometer,1523856498194,1476844453894430,10.955867,-7.6231384,8.810662
android.sensor.accelerometer,1523856498214,1476844473917868,10.247183,-7.73806,9.279925
android.sensor.accelerometer,1523856498234,1476844493908493,10.218452,-8.0924015,8.724471
android.sensor.accelerometer,1523856498254,1476844513899118,9.433155,-6.933608,7.3071036
android.sensor.accelerometer,1523856498274,1476844533889743,8.619126,-7.374141,5.5641246
android.sensor.accelerometer,1523856498294,1476844553911618,6.8569937,-6.5601125,4.817134
