Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523856489698,1476835953903805,0.0,0.0,0.0
android.sensor.gyroscope,1523856489716,1476835973894430,0.0,0.0,0.0
android.sensor.gyroscope,1523856489736,1476835993917868,0.0,0.0,0.0
android.sensor.gyroscope,1523856489756,1476836013908493,0.0,0.0,0.0
android.sensor.gyroscope,1523856489776,1476836033897555,0.0,0.0,0.0
android.sensor.gyroscope,1523856489796,1476836053889743,0.0,0.0,0.0
android.sensor.gyroscope,1523856489816,1476836073911618,0.0,0.0,0.0
android.sensor.gyroscope,1523856489836,1476836093902243,0.0,0.0,0.0
android.sensor.gyroscope,1523856489856,1476836113892868,0.0,0.0,0.0
android.sensor.gyroscope,1523856489876,1476836133916305,0.0,0.0,0.0
android.sensor.gyroscope,1523856489896,1476836153906930,-0.029443704,-0.020996312,-0.015812684
android.sensor.gyroscope,1523856489916,1476836173897555,-0.030264009,-0.004363323,-0.025080381
android.sensor.gyroscope,1523856489936,1476836193889743,0.0,0.0,0.0
android.sensor.gyroscope,1523856489956,1476836213910055,-0.029164452,-2.6179937E-4,-0.026720991
android.sensor.gyroscope,1523856489976,1476836233900680,0.0,0.0,0.0
android.sensor.gyroscope,1523856489996,1476836253892868,0.0,0.0,0.0
android.sensor.gyroscope,1523856490016,1476836273914743,0.0,0.0,0.0
android.sensor.gyroscope,1523856490036,1476836293905368,0.0,0.0,0.0
android.sensor.gyroscope,1523856490056,1476836313895993,0.012810716,-0.030543262,0.021537364
android.sensor.gyroscope,1523856490076,1476836333888180,0.017994344,-0.04335398,0.03080506
android.sensor.gyroscope,1523856490096,1476836353910055,0.0,0.0,0.0
android.sensor.gyroscope,1523856490116,1476836373900680,0.0,0.0,0.0
android.sensor.gyroscope,1523856490136,1476836393892868,0.0,0.0,0.0
android.sensor.gyroscope,1523856490156,1476836413914743,0.00816814,-0.07661995,0.01144936
android.sensor.gyroscope,1523856490176,1476836433905368,-0.0016231562,-0.05126032,-0.022619467
android.sensor.gyroscope,1523856490196,1476836453895993,-5.410521E-4,-0.03598869,-0.016074482
android.sensor.gyroscope,1523856490216,1476836473886618,0.0,0.0,0.0
android.sensor.gyroscope,1523856490236,1476836493908493,0.0,0.0,0.0
android.sensor.gyroscope,1523856490256,1476836513900680,0.0,0.0,0.0
