Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523856631834,1476978093911618,5.449203,0.7757214,8.034941
android.sensor.accelerometer,1523856631854,1476978113902243,5.4683566,0.7661445,7.6231384
android.sensor.accelerometer,1523856631874,1476978133892868,5.4779334,0.7086837,7.7093296
android.sensor.accelerometer,1523856631894,1476978153914743,5.4683566,0.5554548,8.063671
android.sensor.accelerometer,1523856631914,1476978173906930,5.3821654,0.49799395,7.9966335
android.sensor.accelerometer,1523856631934,1476978193895993,5.4683566,0.33518824,8.293514
android.sensor.accelerometer,1523856631954,1476978213888180,5.6982,0.25857377,8.676587
android.sensor.accelerometer,1523856631974,1476978233910055,6.0621185,0.22026655,8.475474
android.sensor.accelerometer,1523856631994,1476978253900680,6.1387334,0.36391866,8.054094
android.sensor.accelerometer,1523856632014,1476978273891305,6.244078,0.39264908,8.379706
android.sensor.accelerometer,1523856632034,1476978293914743,6.2728086,0.2873042,8.532935
android.sensor.accelerometer,1523856632054,1476978313905368,6.196194,0.39264908,8.350976
android.sensor.accelerometer,1523856632074,1476978333895993,6.1004257,0.33518824,8.475474
android.sensor.accelerometer,1523856632094,1476978353888180,6.167464,0.36391866,8.868123
android.sensor.accelerometer,1523856632114,1476978373908493,6.0621185,0.641646,8.63828
android.sensor.accelerometer,1523856632134,1476978393899118,6.1100025,1.1013328,8.791509
android.sensor.accelerometer,1523856632154,1476978413891305,7.086837,0.94810385,9.423578
android.sensor.accelerometer,1523856632174,1476978433913180,8.542512,0.6607997,9.749189
android.sensor.accelerometer,1523856632194,1476978453905368,9.969456,0.91937345,10.869676
android.sensor.accelerometer,1523856632214,1476978473895993,10.314221,0.6512229,12.919112
android.sensor.accelerometer,1523856632234,1476978493917868,9.911995,0.6703765,13.512875
android.sensor.accelerometer,1523856632254,1476978513908493,9.911995,0.641646,13.350069
android.sensor.accelerometer,1523856632274,1476978533899118,10.7356,-0.2681506,13.88637
android.sensor.accelerometer,1523856632294,1476978553891305,10.409989,-0.79487497,16.16565
android.sensor.accelerometer,1523856632314,1476978573911618,9.509769,-1.1587936,17.860744
android.sensor.accelerometer,1523856632334,1476978593903805,7.536947,-2.0590134,19.16319
android.sensor.accelerometer,1523856632354,1476978613894430,5.7269306,-2.882619,20.369867
android.sensor.accelerometer,1523856632374,1476978633916305,5.9759274,-2.825158,19.565416
android.sensor.accelerometer,1523856632394,1476978653908493,6.531382,-3.0550013,16.577452
android.sensor.accelerometer,1523856632414,1476978673897555,6.2632318,-3.265691,14.231135
android.sensor.accelerometer,1523856632434,1476978693889743,5.171476,-3.3423057,11.233594
android.sensor.accelerometer,1523856632454,1476978713911618,4.2425256,-3.6870706,9.950302
android.sensor.accelerometer,1523856632474,1476978733902243,2.2218192,-3.8307228,9.56723
android.sensor.accelerometer,1523856632494,1476978753892868,0.009576807,-3.4284968,8.973468
android.sensor.accelerometer,1523856632514,1476978773916305,-1.2737153,-3.3039982,7.785944
android.sensor.accelerometer,1523856632534,1476978793905368,-2.0207062,-2.9879637,6.6175733
android.sensor.accelerometer,1523856632554,1476978813897555,-2.2601264,-2.5761611,4.759673
android.sensor.accelerometer,1523856632574,1476978833888180,-3.1986535,-2.2888567,2.0398598
android.sensor.accelerometer,1523856632594,1476978853911618,-4.3766007,-1.3503298,0.24899697
android.sensor.accelerometer,1523856632614,1476978873900680,-4.012682,-0.2873042,0.7182605
android.sensor.accelerometer,1523856632634,1476978893891305,-3.821146,0.33518824,0.8619126
android.sensor.accelerometer,1523856632654,1476978913914743,-2.078167,0.5554548,-0.91937345
android.sensor.accelerometer,1523856632674,1476978933905368,-1.0821792,1.8674773,-2.078167
android.sensor.accelerometer,1523856632694,1476978953895993,-0.5267244,2.585738,-2.336741
android.sensor.accelerometer,1523856632714,1476978973888180,0.61291564,2.384625,-1.5035586
android.sensor.accelerometer,1523856632735,1476978993910055,1.4748282,2.6719291,-1.3790601
android.sensor.accelerometer,1523856632754,1476979013900680,1.5035586,2.9496565,-2.6144683
android.sensor.accelerometer,1523856632774,1476979033891305,0.92895025,2.8921957,-2.4995465
android.sensor.accelerometer,1523856632795,1476979053913180,2.3654714,2.030283,-3.0454245
android.sensor.accelerometer,1523856632814,1476979073905368,4.405331,1.6759412,-2.6719291
android.sensor.accelerometer,1523856632834,1476979093894430,5.2385135,1.685518,-2.2888567
android.sensor.accelerometer,1523856632855,1476979113917868,5.2480903,1.5131354,-2.030283
android.sensor.accelerometer,1523856632875,1476979133908493,4.5394063,0.9959879,-2.5187001
android.sensor.accelerometer,1523856632895,1476979153899118,6.033388,-0.21068975,-1.6663644
android.sensor.accelerometer,1523856632915,1476979173891305,8.341399,-0.2777274,1.7142484
android.sensor.accelerometer,1523856632935,1476979193913180,7.651869,0.8619126,0.11492168
android.sensor.accelerometer,1523856632955,1476979213903805,8.236053,-0.19153613,-3.466804
android.sensor.accelerometer,1523856632974,1476979233894430,9.528923,-1.2162545,-5.497087
android.sensor.accelerometer,1523856632994,1476979253916305,9.279925,0.7182605,-3.3614593
android.sensor.accelerometer,1523856633014,1476979273908493,10.237606,0.02873042,0.33518824
android.sensor.accelerometer,1523856633034,1476979293899118,11.15698,-1.2258313,-3.1603463
android.sensor.accelerometer,1523856633054,1476979313889743,12.018892,-2.5761611,-6.7708025
android.sensor.accelerometer,1523856633074,1476979333911618,10.496181,-0.9959879,-0.29688102
android.sensor.accelerometer,1523856633094,1476979353902243,9.911995,-0.6512229,1.283292
android.sensor.accelerometer,1523856633114,1476979373894430,12.239159,-2.2984335,-2.2601264
android.sensor.accelerometer,1523856633134,1476979393914743,15.313314,-3.1028855,-4.0318356
android.sensor.accelerometer,1523856633154,1476979413906930,16.242264,-1.7717092,-4.912902
android.sensor.accelerometer,1523856633174,1476979433897555,16.51999,-1.0247183,-3.6774938
android.sensor.accelerometer,1523856633194,1476979453889743,18.301277,-2.3463178,0.08619126
android.sensor.accelerometer,1523856633214,1476979473911618,21.806389,-4.261679,1.9919758
android.sensor.accelerometer,1523856633234,1476979493900680,20.647596,-3.083732,-1.8483237
android.sensor.accelerometer,1523856633254,1476979513892868,16.82645,-2.777274,-6.3781533
android.sensor.accelerometer,1523856633274,1476979533914743,14.738706,-4.1276035,-5.4204726
android.sensor.accelerometer,1523856633294,1476979553905368,15.533581,-5.841852,3.5913026
android.sensor.accelerometer,1523856633314,1476979573897555,15.993267,-5.9759274,7.6614456
android.sensor.accelerometer,1523856633334,1476979593888180,13.350069,-5.0661306,2.72939
android.sensor.accelerometer,1523856633354,1476979613910055,10.745177,-4.5202527,-2.9975405
android.sensor.accelerometer,1523856633374,1476979633900680,8.379706,-4.7500963,-4.309563
android.sensor.accelerometer,1523856633394,1476979653891305,7.0485296,-5.3342814,1.388637
android.sensor.accelerometer,1523856633414,1476979673913180,8.676587,-5.257667,3.6008794
android.sensor.accelerometer,1523856633434,1476979693905368,9.56723,-5.2385135,1.1779473
android.sensor.accelerometer,1523856633454,1476979713895993,8.8777,-5.104438,-1.9728222
android.sensor.accelerometer,1523856633474,1476979733886618,8.523358,-5.66947,-2.1930888
android.sensor.accelerometer,1523856633494,1476979753908493,8.312668,-6.1387334,0.7661445
android.sensor.accelerometer,1523856633514,1476979773899118,7.1730285,-5.861006,3.7732618
android.sensor.accelerometer,1523856633534,1476979793891305,7.8625584,-5.0278234,3.6487634
android.sensor.accelerometer,1523856633554,1476979813913180,8.676587,-4.9320555,0.019153614
android.sensor.accelerometer,1523856633574,1476979833903805,8.619126,-4.9895163,0.37349546
android.sensor.accelerometer,1523856633594,1476979853894430,8.331821,-5.353435,1.982399
android.sensor.accelerometer,1523856633614,1476979873917868,7.97748,-6.5218053,3.6583402
android.sensor.accelerometer,1523856633634,1476979893908493,7.4124484,-7.345411,2.8634653
android.sensor.accelerometer,1523856633654,1476979913899118,7.2113357,-8.513782,2.1739352
android.sensor.accelerometer,1523856633674,1476979933889743,11.492168,-9.940725,6.205771
android.sensor.accelerometer,1523856633694,1476979953911618,12.430696,-10.0269165,10.180145
android.sensor.accelerometer,1523856633714,1476979973902243,10.419566,-9.337387,12.076353
android.sensor.accelerometer,1523856633734,1476979993892868,6.3781533,-9.662998,10.04607
android.sensor.accelerometer,1523856633754,1476980013916305,5.046977,-10.630256,8.504205
android.sensor.accelerometer,1523856633774,1476980033906930,7.3071036,-12.162544,11.415554
android.sensor.accelerometer,1523856633794,1476980053897555,10.936713,-13.397953,13.005303
android.sensor.accelerometer,1523856633814,1476980073889743,11.923124,-12.172121,12.11466
android.sensor.accelerometer,1523856633834,1476980093910055,15.638926,-11.57836,8.983045
android.sensor.accelerometer,1523856633854,1476980113902243,17.24783,-10.97502,10.1226845
android.sensor.accelerometer,1523856633874,1476980133892868,15.179238,-11.463438,12.200851
android.sensor.accelerometer,1523856633894,1476980153914743,12.832921,-12.53604,16.673222
android.sensor.accelerometer,1523856633914,1476980173905368,11.57836,-13.378799,16.203957
android.sensor.accelerometer,1523856633934,1476980193895993,11.463438,-13.8480625,9.3182335
android.sensor.accelerometer,1523856633954,1476980213886618,13.982138,-13.819332,4.5298295
android.sensor.accelerometer,1523856633974,1476980233910055,17.286137,-13.551182,4.5202527
android.sensor.accelerometer,1523856633994,1476980253900680,15.840038,-12.392388,5.7748146
android.sensor.accelerometer,1523856634014,1476980273891305,15.2367,-11.415554,6.291962
android.sensor.accelerometer,1523856634034,1476980293914743,14.30775,-11.568783,6.847417
android.sensor.accelerometer,1523856634054,1476980313903805,12.076353,-11.501745,7.067683
android.sensor.accelerometer,1523856634074,1476980333895993,11.769896,-11.109096,7.3645644
android.sensor.accelerometer,1523856634094,1476980353886618,11.693281,-10.6398325,7.0006456
android.sensor.accelerometer,1523856634114,1476980373910055,11.798626,-9.816227,5.7748146
android.sensor.accelerometer,1523856634134,1476980393899118,9.423578,-9.030929,0.79487497
android.sensor.accelerometer,1523856634154,1476980413891305,6.7229185,-7.575254,0.2777274
android.sensor.accelerometer,1523856634174,1476980433913180,6.090849,-7.1347213,2.4899697
android.sensor.accelerometer,1523856634194,1476980453903805,6.588843,-6.655881,1.934515
android.sensor.accelerometer,1523856634214,1476980473894430,5.602432,-5.9184666,2.6910827
