Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523856617280,1476963533917868,-0.029722957,-0.018535396,0.043895032
android.sensor.gyroscope,1523856617296,1476963553908493,-0.029722957,-0.01881465,0.043895032
android.sensor.gyroscope,1523856617316,1476963573899118,-0.020717058,-0.013351769,0.03080506
android.sensor.gyroscope,1523856617336,1476963593889743,-0.021537364,-0.013351769,0.030543262
android.sensor.gyroscope,1523856617356,1476963613913180,-0.03190462,-0.019634955,0.04171337
android.sensor.gyroscope,1523856617376,1476963633903805,-0.017453292,-0.008726646,0.034348078
android.sensor.gyroscope,1523856617396,1476963653894430,-0.018535396,-0.008988446,0.033807028
android.sensor.gyroscope,1523856617416,1476963673917868,-0.029722957,-0.02289872,0.057264253
android.sensor.gyroscope,1523856617436,1476963693906930,-0.014451326,-0.02125811,0.049898963
android.sensor.gyroscope,1523856617456,1476963713899118,-0.010088003,-0.018535396,0.033265974
android.sensor.gyroscope,1523856617476,1476963733889743,-0.019355701,-0.028902652,0.044174284
android.sensor.gyroscope,1523856617496,1476963753911618,-0.034348078,-0.030543262,0.032166418
android.sensor.gyroscope,1523856617516,1476963773902243,-0.0283616,-0.025621433,0.010349803
android.sensor.gyroscope,1523856617536,1476963793892868,-0.045256387,-0.05126032,0.0035430184
android.sensor.gyroscope,1523856617556,1476963813916305,-0.061348323,-0.07143632,-0.018256145
android.sensor.gyroscope,1523856617576,1476963833906930,-0.061348323,-0.0850848,-0.03598869
android.sensor.gyroscope,1523856617596,1476963853895993,-0.059445914,-0.13688618,-0.029722957
android.sensor.gyroscope,1523856617616,1476963873888180,-0.047717303,-0.17289232,0.005986479
android.sensor.gyroscope,1523856617636,1476963893910055,-0.030264009,-0.12461651,0.05862561
android.sensor.gyroscope,1523856617656,1476963913900680,-0.017994344,-0.040893063,0.16524777
android.sensor.gyroscope,1523856617676,1476963933892868,-0.005986479,0.044715334,0.23424064
android.sensor.gyroscope,1523856617696,1476963953914743,-0.01144936,0.07417649,0.24925047
android.sensor.gyroscope,1523856617716,1476963973905368,-0.0021816615,0.11917108,0.30079004
android.sensor.gyroscope,1523856617736,1476963993895993,0.016632987,0.18924604,0.42268384
android.sensor.gyroscope,1523856617756,1476964013886618,0.05071927,0.26752406,0.5658532
android.sensor.gyroscope,1523856617776,1476964033910055,0.082623884,0.33569664,0.6858446
android.sensor.gyroscope,1523856617796,1476964053900680,0.095434606,0.37168533,0.75565773
android.sensor.gyroscope,1523856617816,1476964073891305,0.1308997,0.41531855,0.8554731
android.sensor.gyroscope,1523856617836,1476964093914743,0.16062266,0.4292288,0.90538955
android.sensor.gyroscope,1523856617856,1476964113903805,0.18734364,0.42160174,0.9544682
android.sensor.gyroscope,1523856617876,1476964133894430,0.21924827,0.44177774,1.0302854
android.sensor.gyroscope,1523856617896,1476964153917868,0.30079004,0.5017822,1.2511742
android.sensor.gyroscope,1523856617916,1476964173908493,0.43687338,0.58712876,1.5939744
android.sensor.gyroscope,1523856617937,1476964193899118,0.5625894,0.6116681,1.8306758
android.sensor.gyroscope,1523856617956,1476964213889743,0.6850417,0.6124884,2.055928
android.sensor.gyroscope,1523856617976,1476964233911618,0.8031133,0.6449515,2.3308175
android.sensor.gyroscope,1523856617996,1476964253903805,0.8972039,0.6926688,2.6182556
android.sensor.gyroscope,1523856618016,1476964273894430,0.9263859,0.6948505,2.695975
android.sensor.gyroscope,1523856618036,1476964293916305,0.94055796,0.6798581,2.750796
android.sensor.gyroscope,1523856618056,1476964313908493,0.94191927,0.69102824,2.8429668
android.sensor.gyroscope,1523856618076,1476964333897555,0.9468411,0.73275906,2.9866946
android.sensor.gyroscope,1523856618096,1476964353889743,0.9233839,0.75049156,3.0559494
android.sensor.gyroscope,1523856618116,1476964373911618,0.8603775,0.72157145,2.9836926
android.sensor.gyroscope,1523856618136,1476964393902243,0.8025722,0.69595003,2.9037914
android.sensor.gyroscope,1523856618156,1476964413892868,0.7166671,0.6664889,2.8121617
android.sensor.gyroscope,1523856618176,1476964433916305,0.6294006,0.5819451,2.6234393
android.sensor.gyroscope,1523856618196,1476964453906930,0.5238606,0.43633232,2.3684642
android.sensor.gyroscope,1523856618216,1476964473897555,0.44505897,0.34170055,2.1783803
android.sensor.gyroscope,1523856618237,1476964493888180,0.35915387,0.33815753,2.1254795
android.sensor.gyroscope,1523856618256,1476964513910055,0.22389084,0.21924827,1.9528489
android.sensor.gyroscope,1523856618276,1476964533902243,-0.17371263,-0.44886377,1.4038905
android.sensor.gyroscope,1523856618296,1476964553892868,-1.0117325,-1.8516722,0.7873006
android.sensor.gyroscope,1523856618316,1476964573914743,-1.7859606,-3.4584746,0.5863085
android.sensor.gyroscope,1523856618337,1476964593905368,-1.9634954,-4.5833917,0.5563237
android.sensor.gyroscope,1523856618356,1476964613895993,-1.8290353,-5.3865223,0.5200383
android.sensor.gyroscope,1523856618376,1476964633888180,-1.5257843,-6.0055556,0.37088245
android.sensor.gyroscope,1523856618396,1476964653910055,-1.1851833,-6.388987,0.04907866
android.sensor.gyroscope,1523856618416,1476964673900680,-0.9482025,-6.127467,-0.14425147
android.sensor.gyroscope,1523856618437,1476964693891305,-0.78757983,-5.571143,-0.28878218
android.sensor.gyroscope,1523856618456,1476964713913180,-0.6708522,-5.0401793,-0.3681423
android.sensor.gyroscope,1523856618476,1476964733905368,-0.57622045,-4.535395,-0.37578684
android.sensor.gyroscope,1523856618496,1476964753895993,-0.4873134,-3.9177055,-0.350689
android.sensor.gyroscope,1523856618516,1476964773886618,-0.38097048,-3.3163874,-0.33351496
android.sensor.gyroscope,1523856618536,1476964793908493,-0.2912431,-2.862881,-0.30543262
android.sensor.gyroscope,1523856618556,1476964813899118,-0.26015878,-2.6035252,-0.2964267
android.sensor.gyroscope,1523856618576,1476964833891305,-0.22333233,-2.378814,-0.24296728
android.sensor.gyroscope,1523856618596,1476964853913180,-0.14671238,-2.0409358,-0.16552703
android.sensor.gyroscope,1523856618616,1476964873903805,-0.07361799,-1.7106844,-0.08452629
android.sensor.gyroscope,1523856618637,1476964893894430,-0.04717625,-1.451346,-0.023998277
android.sensor.gyroscope,1523856618656,1476964913916305,-0.037891097,-1.2421683,0.050440013
android.sensor.gyroscope,1523856618676,1476964933908493,-0.05644395,-1.1050029,0.12625712
android.sensor.gyroscope,1523856618696,1476964953897555,-0.06925467,-0.97056013,0.18325958
