Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523856560276,1476906533910055,8.073248,5.793968,0.30645782
android.sensor.accelerometer,1523856560294,1476906553902243,7.9583263,5.7269306,0.50757074
android.sensor.accelerometer,1523856560314,1476906573892868,8.054094,5.6407394,1.2449849
android.sensor.accelerometer,1523856560334,1476906593914743,8.025364,5.650316,1.5993267
android.sensor.accelerometer,1523856560354,1476906613906930,7.9487495,5.602432,1.3599066
android.sensor.accelerometer,1523856560374,1476906633895993,7.9391727,5.5641246,0.90979666
android.sensor.accelerometer,1523856560394,1476906653888180,8.303091,5.602432,0.6991069
android.sensor.accelerometer,1523856560414,1476906673910055,8.599973,5.5641246,0.45010993
android.sensor.accelerometer,1523856560434,1476906693900680,8.465898,5.449203,0.842759
android.sensor.accelerometer,1523856560454,1476906713891305,8.293514,5.391742,1.2258313
android.sensor.accelerometer,1523856560474,1476906733914743,8.341399,5.3342814,0.9959879
android.sensor.accelerometer,1523856560494,1476906753905368,8.446744,5.353435,0.10534488
android.sensor.accelerometer,1523856560514,1476906773895993,8.561666,5.410896,-0.18195933
android.sensor.accelerometer,1523856560534,1476906793886618,9.461885,5.171476,-0.23942018
android.sensor.accelerometer,1523856560554,1476906813908493,10.323798,5.085284,-1.3311762
android.sensor.accelerometer,1523856560574,1476906833899118,10.362105,4.960786,-2.1739352
android.sensor.accelerometer,1523856560594,1476906853891305,9.557653,4.8267107,-2.1643584
android.sensor.accelerometer,1523856560614,1476906873913180,9.126697,5.00867,-1.6280571
android.sensor.accelerometer,1523856560634,1476906893903805,9.682152,4.855441,-2.9400797
android.sensor.accelerometer,1523856560654,1476906913895993,9.797073,4.7309427,-4.8745947
android.sensor.accelerometer,1523856560674,1476906933917868,9.385271,4.6926355,-5.6790466
android.sensor.accelerometer,1523856560694,1476906953908493,9.078813,4.6830587,-6.1387334
android.sensor.accelerometer,1523856560714,1476906973899118,10.141838,4.3287168,-7.1155677
android.sensor.accelerometer,1523856560734,1476906993889743,10.6398325,3.8786068,-6.579266
android.sensor.accelerometer,1523856560754,1476907013913180,11.568783,3.5434184,-5.6120086
android.sensor.accelerometer,1523856560774,1476907033903805,11.3964,3.466804,-4.232949
android.sensor.accelerometer,1523856560794,1476907053894430,10.840945,3.4955344,-3.8881836
