Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523856574502,1476920753902243,0.0,0.0,0.0
android.sensor.gyroscope,1523856574516,1476920773892868,0.016632987,0.03080506,0.018256145
android.sensor.gyroscope,1523856574536,1476920793914743,0.037350047,0.07307693,0.030264009
android.sensor.gyroscope,1523856574556,1476920813906930,0.04907866,0.09325294,0.034627333
android.sensor.gyroscope,1523856574576,1476920833897555,0.045814894,0.08752826,0.032724924
android.sensor.gyroscope,1523856574596,1476920853888180,0.038990654,0.07199483,0.031084314
android.sensor.gyroscope,1523856574616,1476920873911618,0.011990412,0.030543262,0.022078415
android.sensor.gyroscope,1523856574636,1476920893900680,0.0,0.0,0.0
android.sensor.gyroscope,1523856574656,1476920913892868,0.012531464,0.035168383,0.04171337
android.sensor.gyroscope,1523856574676,1476920933914743,-0.006806784,0.006544985,0.038449604
android.sensor.gyroscope,1523856574696,1476920953905368,-0.011711159,-0.0070860367,0.037088245
android.sensor.gyroscope,1523856574716,1476920973895993,-0.013351769,-0.016074482,0.052080624
android.sensor.gyroscope,1523856574736,1476920993888180,-0.020437805,-0.042533673,0.062168628
android.sensor.gyroscope,1523856574756,1476921013910055,-0.02480113,-0.06352998,0.05508259
android.sensor.gyroscope,1523856574776,1476921033900680,-0.040072758,-0.11616912,0.06899287
android.sensor.gyroscope,1523856574796,1476921053892868,-0.054803338,-0.16634732,0.067631505
android.sensor.gyroscope,1523856574816,1476921073914743,-0.084264494,-0.23588125,0.07143632
android.sensor.gyroscope,1523856574836,1476921093905368,-0.10908308,-0.30161035,0.07417649
android.sensor.gyroscope,1523856574856,1476921113895993,-0.13634512,-0.3645993,0.07335619
android.sensor.gyroscope,1523856574876,1476921133886618,-0.14779449,-0.42324233,0.07962192
android.sensor.gyroscope,1523856574896,1476921153908493,-0.16088445,-0.4982217,0.0946143
android.sensor.gyroscope,1523856574916,1476921173900680,-0.17833774,-0.58276546,0.1126261
android.sensor.gyroscope,1523856574936,1476921193891305,-0.18243927,-0.65503955,0.13226105
android.sensor.gyroscope,1523856574956,1476921213913180,-0.19416788,-0.73057735,0.15680037
android.sensor.gyroscope,1523856574976,1476921233903805,-0.19306833,-0.79002327,0.17725565
android.sensor.gyroscope,1523856574996,1476921253894430,-0.19989257,-0.8571137,0.19989257
android.sensor.gyroscope,1523856575016,1476921273917868,-0.19607028,-0.94001687,0.2353402
android.sensor.gyroscope,1523856575036,1476921293908493,-0.18079865,-1.0207384,0.2896025
android.sensor.gyroscope,1523856575056,1476921313899118,-0.15433946,-1.0880907,0.3403392
android.sensor.gyroscope,1523856575076,1476921333889743,-0.13252285,-1.1159111,0.37114426
android.sensor.gyroscope,1523856575096,1476921353911618,-0.1311615,-1.1178136,0.3706032
android.sensor.gyroscope,1523856575116,1476921373902243,-0.12135274,-1.1061025,0.37414622
android.sensor.gyroscope,1523856575136,1476921393894430,-0.1044405,-1.0559242,0.38397244
android.sensor.gyroscope,1523856575156,1476921413916305,-0.08834857,-0.9981014,0.39760345
android.sensor.gyroscope,1523856575176,1476921433906930,-0.06026622,-0.92610663,0.41015238
android.sensor.gyroscope,1523856575196,1476921453897555,-0.04553564,-0.8633795,0.435512
android.sensor.gyroscope,1523856575216,1476921473888180,-0.050178215,-0.8006698,0.45895177
android.sensor.gyroscope,1523856575236,1476921493911618,-0.050178215,-0.7248527,0.47996554
android.sensor.gyroscope,1523856575256,1476921513902243,-0.07035422,-0.63622487,0.49277624
android.sensor.gyroscope,1523856575277,1476921533892868,-0.095713854,-0.5680348,0.5080479
android.sensor.gyroscope,1523856575296,1476921553914743,-0.11452851,-0.42214277,0.5031435
android.sensor.gyroscope,1523856575316,1476921573906930,-0.11616912,-0.28824112,0.4914149
android.sensor.gyroscope,1523856575337,1476921593897555,-0.10662217,-0.103620194,0.4922352
android.sensor.gyroscope,1523856575356,1476921613888180,-0.06380924,0.225514,0.47914523
android.sensor.gyroscope,1523856575376,1476921633910055,-0.060528018,0.46931905,0.43168974
android.sensor.gyroscope,1523856575396,1476921653900680,-0.033265974,0.76384336,0.37850955
android.sensor.gyroscope,1523856575416,1476921673891305,0.02289872,1.0231993,0.34714597
android.sensor.gyroscope,1523856575436,1476921693914743,0.13226105,1.2719086,0.35342917
android.sensor.gyroscope,1523856575456,1476921713905368,0.29806733,1.5582474,0.3763279
android.sensor.gyroscope,1523856575476,1476921733895993,0.65039694,2.0395744,0.4292288
android.sensor.gyroscope,1523856575496,1476921753886618,1.2558167,2.6804419,0.5729567
android.sensor.gyroscope,1523856575516,1476921773910055,1.9724839,3.2610254,0.8448441
android.sensor.gyroscope,1523856575536,1476921793899118,2.5855308,3.654283,1.1990936
android.sensor.gyroscope,1523856575556,1476921813891305,2.9275105,3.770173,1.4707017
android.sensor.gyroscope,1523856575576,1476921833913180,3.0398574,3.7033617,1.6384279
android.sensor.gyroscope,1523856575596,1476921853903805,3.0431385,3.546282,1.7488723
android.sensor.gyroscope,1523856575616,1476921873894430,2.9929605,3.3559365,1.8126816
android.sensor.gyroscope,1523856575637,1476921893917868,2.8915045,3.1644914,1.8936822
android.sensor.gyroscope,1523856575656,1476921913908493,2.7723334,2.9700441,1.96922
android.sensor.gyroscope,1523856575676,1476921933899118,2.616074,2.7461534,1.9844917
android.sensor.gyroscope,1523856575696,1476921953889743,2.4058142,2.4816313,1.923126
android.sensor.gyroscope,1523856575716,1476921973911618,2.1696537,2.226918,1.8661234
android.sensor.gyroscope,1523856575736,1476921993902243,1.9381183,2.0035682,1.8323164
android.sensor.gyroscope,1523856575756,1476922013894430,1.6686919,1.7573197,1.7755933
android.sensor.gyroscope,1523856575776,1476922033916305,1.2195488,1.3607984,1.606244
android.sensor.gyroscope,1523856575796,1476922053906930,0.89448124,1.0379124,1.4491643
android.sensor.gyroscope,1523856575816,1476922073897555,0.74803066,0.8617563,1.3698043
android.sensor.gyroscope,1523856575837,1476922093888180,0.4815887,0.604041,1.2361819
android.sensor.gyroscope,1523856575856,1476922113910055,-0.0659909,0.17533578,0.98611104
android.sensor.gyroscope,1523856575876,1476922133902243,-0.51431364,-0.17615607,0.745849
android.sensor.gyroscope,1523856575896,1476922153892868,-0.89448124,-0.42350414,0.583865
android.sensor.gyroscope,1523856575916,1476922173916305,-1.2350823,-0.63648665,0.44069564
android.sensor.gyroscope,1523856575936,1476922193906930,-1.6711527,-0.89448124,0.25033256
android.sensor.gyroscope,1523856575956,1476922213897555,-2.202658,-1.1851833,0.03626794
android.sensor.gyroscope,1523856575976,1476922233888180,-2.7036197,-1.428168,-0.08180358
android.sensor.gyroscope,1523856575996,1476922253910055,-3.0330505,-1.5906931,-0.10580186
android.sensor.gyroscope,1523856576016,1476922273900680,-3.232943,-1.6877857,-0.09707521
android.sensor.gyroscope,1523856576036,1476922293892868,-3.291848,-1.724874,-0.048537605
android.sensor.gyroscope,1523856576056,1476922313914743,-3.2375858,-1.6907877,-0.0019024089
android.sensor.gyroscope,1523856576076,1476922333905368,-3.1104908,-1.619334,0.032166418
android.sensor.gyroscope,1523856576096,1476922353895993,-3.0322304,-1.5762417,0.063268185
android.sensor.gyroscope,1523856576116,1476922373888180,-2.9351377,-1.5206181,0.08126253
android.sensor.gyroscope,1523856576136,1476922393908493,-2.811062,-1.4434396,0.102538094
android.sensor.gyroscope,1523856576156,1476922413899118,-2.7344248,-1.3588959,0.12707742
android.sensor.gyroscope,1523856576176,1476922433891305,-2.6957133,-1.2950866,0.14343116
android.sensor.gyroscope,1523856576196,1476922453913180,-2.6599865,-1.2607211,0.18243927
android.sensor.gyroscope,1523856576216,1476922473905368,-2.5710795,-1.221172,0.2170666
android.sensor.gyroscope,1523856576236,1476922493894430,-2.427369,-1.1330853,0.23151793
android.sensor.gyroscope,1523856576256,1476922513917868,-2.2547386,-1.0002831,0.22307053
android.sensor.gyroscope,1523856576276,1476922533908493,-2.0864713,-0.87156504,0.21216223
android.sensor.gyroscope,1523856576296,1476922553899118,-1.9539485,-0.78757983,0.21570525
android.sensor.gyroscope,1523856576316,1476922573891305,-1.8230487,-0.73521996,0.24134412
android.sensor.gyroscope,1523856576337,1476922593913180,-1.7003173,-0.6891258,0.27815312
android.sensor.gyroscope,1523856576356,1476922613902243,-1.5776031,-0.6220353,0.30187213
android.sensor.gyroscope,1523856576376,1476922633894430,-1.4600726,-0.5538628,0.3187844
android.sensor.gyroscope,1523856576396,1476922653916305,-1.3455267,-0.47260025,0.34714597
android.sensor.gyroscope,1523856576416,1476922673906930,-1.1625464,-0.31714377,0.38751546
android.sensor.gyroscope,1523856576436,1476922693897555,-0.97874576,-0.13470452,0.43415064
android.sensor.gyroscope,1523856576456,1476922713889743,-0.81430084,0.03626794,0.46986008
android.sensor.gyroscope,1523856576476,1476922733911618,-0.63866836,0.21924827,0.50040334
android.sensor.gyroscope,1523856576496,1476922753902243,-0.4265061,0.41069344,0.55140185
android.sensor.gyroscope,1523856576516,1476922773892868,-0.15707964,0.6490356,0.59885734
android.sensor.gyroscope,1523856576536,1476922793914743,0.031084314,0.8017519,0.64112926
android.sensor.gyroscope,1523856576556,1476922813906930,0.16824974,0.91820025,0.66566855
android.sensor.gyroscope,1523856576576,1476922833897555,0.41015238,1.0872703,0.6809402
android.sensor.gyroscope,1523856576596,1476922853888180,0.6525786,1.2244532,0.70303607
android.sensor.gyroscope,1523856576616,1476922873910055,0.9397376,1.3179854,0.7502123
android.sensor.gyroscope,1523856576636,1476922893900680,1.316083,1.3867165,0.82410955
android.sensor.gyroscope,1523856576656,1476922913892868,1.6798794,1.3886188,0.9171007
android.sensor.gyroscope,1523856576676,1476922933914743,1.9915777,1.3409015,0.9950995
