Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523856691474,1477037733910055,-0.019153614,0.7278373,10.113108
android.sensor.accelerometer,1523856691494,1477037753899118,0.1340753,0.80445176,9.797073
android.sensor.accelerometer,1523856691514,1477037773889743,0.4309563,0.81402856,9.605537
android.sensor.accelerometer,1523856691534,1477037793911618,0.22026655,0.90021986,9.749189
android.sensor.accelerometer,1523856691554,1477037813903805,0.24899697,0.79487497,9.710882
android.sensor.accelerometer,1523856691574,1477037833894430,0.17238252,0.7661445,9.797073
android.sensor.accelerometer,1523856691594,1477037853916305,-0.15322891,0.7469909,9.864111
android.sensor.accelerometer,1523856691614,1477037873906930,-0.06703765,0.7565677,9.691729
android.sensor.accelerometer,1523856691634,1477037893899118,0.25857377,0.7757214,9.557653
android.sensor.accelerometer,1523856691654,1477037913889743,0.05746084,0.7278373,9.682152
android.sensor.accelerometer,1523856691674,1477037933911618,0.05746084,0.7469909,9.80665
android.sensor.accelerometer,1523856691694,1477037953902243,0.24899697,0.7565677,9.825804
android.sensor.accelerometer,1523856691714,1477037973892868,0.33518824,0.7565677,9.758766
android.sensor.accelerometer,1523856691734,1477037993916305,0.5650316,0.6991069,9.749189
android.sensor.accelerometer,1523856691754,1477038013906930,0.6703765,0.6991069,9.749189
android.sensor.accelerometer,1523856691774,1477038033897555,1.091756,0.7565677,9.730036
android.sensor.accelerometer,1523856691794,1477038053889743,1.9057846,0.90979666,9.988609
android.sensor.accelerometer,1523856691814,1477038073910055,2.9975405,0.8523358,10.007763
android.sensor.accelerometer,1523856691834,1477038093902243,4.0701427,0.91937345,10.5440645
android.sensor.accelerometer,1523856691854,1477038113892868,4.6255975,0.7469909,10.409989
android.sensor.accelerometer,1523856691874,1477038133914743,5.056554,0.63206923,10.0748005
android.sensor.accelerometer,1523856691894,1477038153905368,6.2249246,0.45010993,10.25676
android.sensor.accelerometer,1523856691914,1477038173895993,7.1155677,0.23942018,9.902418
android.sensor.accelerometer,1523856691934,1477038193888180,7.785944,0.21068975,9.442732
android.sensor.accelerometer,1523856691954,1477038213910055,8.762778,0.019153614,9.615114
android.sensor.accelerometer,1523856691974,1477038233900680,8.7532015,-0.20111294,10.180145
android.sensor.accelerometer,1523856691994,1477038253891305,8.121132,-0.31603462,9.653421
android.sensor.accelerometer,1523856692014,1477038273913180,6.885724,-0.18195933,8.599973
android.sensor.accelerometer,1523856692034,1477038293905368,6.291962,-0.5267244,8.8777
android.sensor.accelerometer,1523856692054,1477038313895993,5.8322754,-1.0534488,9.11712
android.sensor.accelerometer,1523856692074,1477038333886618,4.663905,-1.6472107,9.3661175
android.sensor.accelerometer,1523856692094,1477038353908493,1.541866,-2.2888567,10.91756
android.sensor.accelerometer,1523856692114,1477038373899118,-0.9959879,-3.1890767,11.951855
android.sensor.accelerometer,1523856692134,1477038393891305,-2.920926,-3.7349546,10.534488
android.sensor.accelerometer,1523856692154,1477038413913180,-5.0278234,-3.86903,9.136273
android.sensor.accelerometer,1523856692174,1477038433903805,-6.8761473,-4.3287168,9.519346
android.sensor.accelerometer,1523856692194,1477038453894430,-8.954314,-5.2289367,10.97502
android.sensor.accelerometer,1523856692214,1477038473916305,-12.957419,-5.899313,11.750742
android.sensor.accelerometer,1523856692234,1477038493906930,-15.591042,-6.4260373,12.785037
android.sensor.accelerometer,1523856692254,1477038513899118,-15.47612,-6.5122285,14.81532
android.sensor.accelerometer,1523856692274,1477038533889743,-13.67568,-6.0238113,14.528016
android.sensor.accelerometer,1523856692294,1477038553911618,-12.765883,-5.353435,12.919112
android.sensor.accelerometer,1523856692314,1477038573902243,-12.162544,-4.7500963,11.33894
android.sensor.accelerometer,1523856692334,1477038593894430,-10.802638,-4.223372,10.754754
android.sensor.accelerometer,1523856692354,1477038613916305,-9.165004,-3.3327289,11.118672
android.sensor.accelerometer,1523856692374,1477038633906930,-8.255207,-2.8443117,11.18571
android.sensor.accelerometer,1523856692394,1477038653897555,-7.0006456,-2.566584,10.91756
android.sensor.accelerometer,1523856692414,1477038673888180,-5.0278234,-2.4133554,10.304645
android.sensor.accelerometer,1523856692434,1477038693911618,-3.5338416,-2.4037786,9.337387
android.sensor.accelerometer,1523856692454,1477038713902243,-2.3080103,-2.6623523,9.14585
android.sensor.accelerometer,1523856692474,1477038733892868,-2.5091233,-2.9879637,9.576807
android.sensor.accelerometer,1523856692494,1477038753914743,-2.0590134,-3.074155,9.490616
android.sensor.accelerometer,1523856692514,1477038773905368,0.62249243,-3.265691,9.155427
android.sensor.accelerometer,1523856692534,1477038793895993,4.3766007,-2.930503,8.580819
android.sensor.accelerometer,1523856692554,1477038813888180,6.8665705,-2.1260512,8.8777
android.sensor.accelerometer,1523856692574,1477038833910055,7.07726,-1.6663644,10.745177
android.sensor.accelerometer,1523856692594,1477038853900680,7.651869,-1.7046716,11.33894
android.sensor.accelerometer,1523856692614,1477038873892868,8.236053,-1.4939818,9.442732
android.sensor.accelerometer,1523856692634,1477038893913180,7.833828,-0.9672575,6.0238113
android.sensor.accelerometer,1523856692654,1477038913905368,9.097966,-0.61291564,5.0374002
android.sensor.accelerometer,1523856692674,1477038933895993,12.469003,-1.0630256,7.5082164
android.sensor.accelerometer,1523856692694,1477038953888180,14.930242,-1.4269443,12.98615
android.sensor.accelerometer,1523856692714,1477038973908493,13.627796,-1.6950948,14.5759
android.sensor.accelerometer,1523856692734,1477038993899118,11.884817,-1.6184803,14.403518
android.sensor.accelerometer,1523856692754,1477039013891305,11.9135475,-1.541866,13.072341
android.sensor.accelerometer,1523856692774,1477039033913180,11.463438,-1.4460979,10.371682
android.sensor.accelerometer,1523856692794,1477039053905368,10.620679,-1.5897499,9.14585
android.sensor.accelerometer,1523856692814,1477039073894430,9.548077,-2.0398598,8.963891
android.sensor.accelerometer,1523856692834,1477039093916305,7.824251,-2.3654714,9.864111
android.sensor.accelerometer,1523856692854,1477039113908493,7.2113357,-2.4516625,10.67814
android.sensor.accelerometer,1523856692874,1477039133899118,7.3645644,-2.4420857,10.572795
android.sensor.accelerometer,1523856692894,1477039153889743,6.0716953,-2.432509,10.563218
android.sensor.accelerometer,1523856692914,1477039173911618,4.644751,-2.5378537,8.925584
android.sensor.accelerometer,1523856692934,1477039193902243,2.6240451,-1.9632454,8.054094
android.sensor.accelerometer,1523856692954,1477039213894430,1.1587936,-1.733402,7.517793
android.sensor.accelerometer,1523856692974,1477039233916305,0.62249243,-1.5801731,7.0581064
android.sensor.accelerometer,1523856692994,1477039253906930,1.8195933,-1.5514427,8.274361
android.sensor.accelerometer,1523856693014,1477039273897555,4.1659107,-3.083732,12.258312
android.sensor.accelerometer,1523856693034,1477039293888180,-0.17238252,-3.6296098,11.482592
android.sensor.accelerometer,1523856693054,1477039313911618,-4.960786,-3.7253778,8.274361
android.sensor.accelerometer,1523856693074,1477039333902243,-6.8569937,-3.6104562,6.6846113
android.sensor.accelerometer,1523856693094,1477039353892868,-4.175488,-4.903325,10.352529
android.sensor.accelerometer,1523856693114,1477039373914743,-4.3861775,-5.93762,16.270994
android.sensor.accelerometer,1523856693134,1477039393906930,-8.772355,-6.9240313,13.88637
android.sensor.accelerometer,1523856693154,1477039413897555,-15.188815,-7.1730285,11.549629
android.sensor.accelerometer,1523856693174,1477039433888180,-17.535133,-7.6710224,12.5743475
android.sensor.accelerometer,1523856693194,1477039453910055,-15.610195,-7.795521,17.295713
android.sensor.accelerometer,1523856693214,1477039473900680,-13.627796,-7.086837,19.220652
android.sensor.accelerometer,1523856693234,1477039493892868,-12.77546,-5.899313,16.156073
android.sensor.accelerometer,1523856693254,1477039513914743,-11.520899,-4.817134,11.9135475
android.sensor.accelerometer,1523856693274,1477039533905368,-9.720459,-3.9360676,9.950302
android.sensor.accelerometer,1523856693294,1477039553895993,-8.159439,-3.514688,10.572795
android.sensor.accelerometer,1523856693314,1477039573886618,-6.9623384,-3.3327289,11.233594
android.sensor.accelerometer,1523856693334,1477039593908493,-5.439626,-3.064578,11.118672
android.sensor.accelerometer,1523856693354,1477039613900680,-3.1890767,-3.083732,10.247183
android.sensor.accelerometer,1523856693374,1477039633891305,-1.4652514,-3.1890767,9.56723
android.sensor.accelerometer,1523856693394,1477039653913180,-1.5801731,-3.4763808,9.56723
android.sensor.accelerometer,1523856693414,1477039673903805,-1.292869,-3.6774938,9.605537
android.sensor.accelerometer,1523856693434,1477039693895993,1.7429788,-3.7253778,9.136273
android.sensor.accelerometer,1523856693454,1477039713917868,4.999093,-3.2082303,8.580819
android.sensor.accelerometer,1523856693474,1477039733908493,6.83784,-2.7485435,8.111555
android.sensor.accelerometer,1523856693494,1477039753899118,6.943185,-2.2601264,9.385271
android.sensor.accelerometer,1523856693514,1477039773891305,6.5601125,-2.3942018,10.524911
android.sensor.accelerometer,1523856693534,1477039793911618,6.8569937,-1.8195933,9.500193
android.sensor.accelerometer,1523856693554,1477039813903805,9.078813,-1.532289,7.7093296
android.sensor.accelerometer,1523856693574,1477039833892868,10.745177,-1.2737153,6.7229185
android.sensor.accelerometer,1523856693594,1477039853916305,11.137826,-1.292869,8.025364
android.sensor.accelerometer,1523856693614,1477039873906930,11.81778,-1.4652514,9.701305
android.sensor.accelerometer,1523856693634,1477039893897555,12.832921,-1.7621324,10.984597
android.sensor.accelerometer,1523856693654,1477039913889743,14.087482,-2.087744,11.501745
android.sensor.accelerometer,1523856693674,1477039933911618,15.073894,-2.0111294,13.168109
android.sensor.accelerometer,1523856693694,1477039953902243,11.856087,-1.8866309,13.43626
android.sensor.accelerometer,1523856693714,1477039973892868,10.457873,-1.9632454,10.563218
android.sensor.accelerometer,1523856693734,1477039993914743,9.797073,-2.0590134,9.471462
android.sensor.accelerometer,1523856693754,1477040013906930,8.274361,-1.9440918,8.992621
android.sensor.accelerometer,1523856693774,1477040033897555,8.063671,-1.6950948,9.279925
android.sensor.accelerometer,1523856693794,1477040053888180,7.690176,-1.3215994,10.400413
android.sensor.accelerometer,1523856693814,1477040073910055,7.067683,-1.532289,10.43872
android.sensor.accelerometer,1523856693834,1477040093900680,5.3821654,-1.8579005,10.898406
android.sensor.accelerometer,1523856693854,1477040113892868,3.7541082,-2.087744,9.3182335
android.sensor.accelerometer,1523856693874,1477040133914743,3.5242648,-1.7717092,5.650316
android.sensor.accelerometer,1523856693894,1477040153905368,3.323152,-1.2641385,4.31914
android.sensor.accelerometer,1523856693914,1477040173895993,3.0933087,-1.6950948,6.033388
android.sensor.accelerometer,1523856693934,1477040193886618,2.1739352,-2.8538885,9.136273
android.sensor.accelerometer,1523856693954,1477040213910055,-0.62249243,-3.9456444,12.315774
android.sensor.accelerometer,1523856693974,1477040233899118,-2.078167,-3.7924154,11.616667
android.sensor.accelerometer,1523856693994,1477040253891305,-3.0262709,-3.5913026,9.097966
android.sensor.accelerometer,1523856694014,1477040273913180,-3.9839516,-4.6351743,7.479486
android.sensor.accelerometer,1523856694034,1477040293903805,-5.391742,-5.985504,11.9135475
android.sensor.accelerometer,1523856694054,1477040313895993,-8.207323,-6.2728086,15.514427
android.sensor.accelerometer,1523856694074,1477040333917868,-10.831368,-5.9759274,14.700398
android.sensor.accelerometer,1523856694094,1477040353908493,-11.779472,-5.9184666,11.674128
android.sensor.accelerometer,1523856694114,1477040373899118,-10.754754,-6.5218053,13.43626
android.sensor.accelerometer,1523856694134,1477040393891305,-10.132261,-6.196194,17.257406
android.sensor.accelerometer,1523856694154,1477040413913180,-12.239159,-5.267244,17.96609
android.sensor.accelerometer,1523856694174,1477040433903805,-12.832921,-4.2904096,13.9151
android.sensor.accelerometer,1523856694194,1477040453894430,-11.616667,-3.5913026,11.15698
android.sensor.accelerometer,1523856694214,1477040473916305,-9.346964,-3.4284968,11.60709
android.sensor.accelerometer,1523856694234,1477040493906930,-8.264784,-3.265691,13.340492
android.sensor.accelerometer,1523856694254,1477040513899118,-7.97748,-3.083732,13.321339
android.sensor.accelerometer,1523856694274,1477040533889743,-7.029376,-3.016694,11.377247
android.sensor.accelerometer,1523856694294,1477040553911618,-5.085284,-2.633622,9.346964
android.sensor.accelerometer,1523856694314,1477040573902243,-2.8060043,-2.7102363,9.758766
android.sensor.accelerometer,1523856694334,1477040593892868,-1.1779473,-2.767697,10.247183
android.sensor.accelerometer,1523856694354,1477040613916305,-0.02873042,-2.8921957,9.519346
android.sensor.accelerometer,1523856694374,1477040633906930,0.58418524,-2.9113493,9.500193
android.sensor.accelerometer,1523856694394,1477040653897555,3.5817258,-2.6144683,9.078813
android.sensor.accelerometer,1523856694414,1477040673888180,7.824251,-2.0111294,8.360553
android.sensor.accelerometer,1523856694434,1477040693910055,10.151415,-1.5514427,9.002198
android.sensor.accelerometer,1523856694454,1477040713902243,10.5440645,-1.0726024,10.01734
android.sensor.accelerometer,1523856694474,1477040733894430,11.808203,-0.46926352,9.739613
android.sensor.accelerometer,1523856694494,1477040753914743,12.631808,-0.21068975,9.241618
android.sensor.accelerometer,1523856694514,1477040773905368,11.702858,0.20111294,9.050082
android.sensor.accelerometer,1523856694534,1477040793895993,9.835381,0.2873042,8.082825
android.sensor.accelerometer,1523856694554,1477040813886618,6.981492,0.61291564,7.7572136
android.sensor.accelerometer,1523856694574,1477040833910055,5.401319,0.90979666,8.532935
android.sensor.accelerometer,1523856694594,1477040853900680,5.257667,1.4173675,6.588843
android.sensor.accelerometer,1523856694614,1477040873891305,5.9184666,0.23942018,9.720459
android.sensor.accelerometer,1523856694634,1477040893913180,4.4436383,0.58418524,10.726024
android.sensor.accelerometer,1523856694654,1477040913905368,3.074155,0.15322891,11.204864
android.sensor.accelerometer,1523856694674,1477040933895993,1.3694834,0.7469909,10.850522
android.sensor.accelerometer,1523856694694,1477040953886618,-0.047884032,0.5363012,9.682152
android.sensor.accelerometer,1523856694714,1477040973908493,-0.20111294,0.63206923,8.7053175
android.sensor.accelerometer,1523856694734,1477040993899118,0.62249243,0.49799395,9.011775
android.sensor.accelerometer,1523856694754,1477041013891305,1.2162545,0.39264908,9.385271
android.sensor.accelerometer,1523856694774,1477041033913180,0.9672575,0.8523358,9.32781
android.sensor.accelerometer,1523856694794,1477041053903805,-0.12449849,0.4405331,9.375694
android.sensor.accelerometer,1523856694814,1477041073894430,-0.8714894,0.45010993,10.5440645
android.sensor.accelerometer,1523856694834,1477041093916305,-0.61291564,0.21068975,11.540052
android.sensor.accelerometer,1523856694854,1477041113906930,-0.12449849,0.06703765,11.741165
android.sensor.accelerometer,1523856694874,1477041133899118,0.19153613,0.2873042,10.065224
android.sensor.accelerometer,1523856694894,1477041153889743,-0.11492168,0.05746084,9.165004
android.sensor.accelerometer,1523856694914,1477041173911618,-0.5363012,0.22984336,10.362105
android.sensor.accelerometer,1523856694934,1477041193902243,-0.19153613,-0.4405331,12.6222315
android.sensor.accelerometer,1523856694954,1477041213894430,-0.16280572,-0.23942018,12.200851
android.sensor.accelerometer,1523856694974,1477041233916305,0.78529817,0.076614454,10.036493
android.sensor.accelerometer,1523856694994,1477041253906930,0.78529817,0.8714894,7.881712
android.sensor.accelerometer,1523856695014,1477041273897555,-0.25857377,0.6799533,7.872135
android.sensor.accelerometer,1523856695034,1477041293889743,-0.7469909,0.48841715,10.113108
android.sensor.accelerometer,1523856695054,1477041313910055,-0.4405331,0.4309563,10.745177
