Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523856706876,1477053133895993,0.044174284,0.0021816615,0.06407104
android.sensor.gyroscope,1523856706896,1477053153888180,0.032166418,0.004363323,0.06026622
android.sensor.gyroscope,1523856706916,1477053173910055,0.03408628,-0.0021816615,0.07007497
android.sensor.gyroscope,1523856706936,1477053193900680,0.029443704,2.6179937E-4,0.07225663
android.sensor.gyroscope,1523856706956,1477053213891305,0.025621433,2.6179937E-4,0.06352998
android.sensor.gyroscope,1523856706976,1477053233913180,0.02480113,0.002443461,0.07389724
android.sensor.gyroscope,1523856706996,1477053253905368,0.021816615,0.0027227136,0.06489134
android.sensor.gyroscope,1523856707016,1477053273895993,0.018256145,0.0049043754,0.06571165
android.sensor.gyroscope,1523856707036,1477053293888180,0.020176006,0.007906342,0.08480555
android.sensor.gyroscope,1523856707057,1477053313910055,0.017453292,0.005986479,0.0659909
android.sensor.gyroscope,1523856707077,1477053333900680,0.017715093,0.013631022,0.06462954
android.sensor.gyroscope,1523856707096,1477053353891305,0.019076448,0.013351769,0.06435029
android.sensor.gyroscope,1523856707117,1477053373913180,0.01881465,0.01308997,0.06462954
android.sensor.gyroscope,1523856707137,1477053393905368,0.009808751,0.012810716,0.03598869
android.sensor.gyroscope,1523856707157,1477053413894430,0.015812684,0.017715093,0.05071927
android.sensor.gyroscope,1523856707177,1477053433917868,0.013351769,0.012810716,0.034906585
android.sensor.gyroscope,1523856707196,1477053453908493,0.010629055,0.017715093,0.033807028
android.sensor.gyroscope,1523856707217,1477053473899118,0.0,0.0,0.0
android.sensor.gyroscope,1523856707237,1477053493889743,0.0,0.0,0.0
android.sensor.gyroscope,1523856707258,1477053513911618,0.0,0.0,0.0
android.sensor.gyroscope,1523856707277,1477053533903805,0.0,0.0,0.0
android.sensor.gyroscope,1523856707297,1477053553894430,0.0,0.0,0.0
android.sensor.gyroscope,1523856707316,1477053573916305,0.0,0.0,0.0
android.sensor.gyroscope,1523856707336,1477053593906930,-0.013351769,-0.19497073,-0.17615607
android.sensor.gyroscope,1523856707356,1477053613897555,-0.047717303,-0.38259363,-0.31688198
android.sensor.gyroscope,1523856707376,1477053633889743,-0.07253588,-0.48841295,-0.38123226
android.sensor.gyroscope,1523856707396,1477053653910055,-0.10143854,-0.59639645,-0.4524068
android.sensor.gyroscope,1523856707416,1477053673902243,-0.13526301,-0.6891258,-0.49604002
android.sensor.gyroscope,1523856707436,1477053693892868,-0.17289232,-0.7750309,-0.5197765
android.sensor.gyroscope,1523856707456,1477053713914743,-0.20289452,-0.85983646,-0.5530425
android.sensor.gyroscope,1523856707476,1477053733905368,-0.2268928,-0.9331927,-0.55794686
android.sensor.gyroscope,1523856707496,1477053753897555,-0.25715682,-0.9871931,-0.55550337
android.sensor.gyroscope,1523856707516,1477053773888180,-0.28878218,-1.026463,-0.53232545
android.sensor.gyroscope,1523856707536,1477053793910055,-0.31360075,-1.0362892,-0.4914149
android.sensor.gyroscope,1523856707556,1477053813900680,-0.3256086,-1.0185567,-0.45677012
android.sensor.gyroscope,1523856707576,1477053833892868,-0.33733723,-0.9817477,-0.4213225
android.sensor.gyroscope,1523856707596,1477053853914743,-0.35287067,-0.8991064,-0.35751325
android.sensor.gyroscope,1523856707616,1477053873905368,-0.38397244,-0.79738855,-0.27597147
android.sensor.gyroscope,1523856707636,1477053893895993,-0.42242205,-0.67875856,-0.16989034
android.sensor.gyroscope,1523856707656,1477053913888180,-0.4756022,-0.50040334,-0.034348078
android.sensor.gyroscope,1523856707676,1477053933910055,-0.55604446,-0.23233823,0.20015436
android.sensor.gyroscope,1523856707696,1477053953899118,-0.5825036,0.017994344,0.35096827
android.sensor.gyroscope,1523856707716,1477053973891305,-0.5893104,0.31714377,0.54649746
android.sensor.gyroscope,1523856707736,1477053993913180,-0.5912303,0.6116681,0.7889412
android.sensor.gyroscope,1523856707756,1477054013903805,-0.6081251,0.8603775,1.056727
android.sensor.gyroscope,1523856707776,1477054033894430,-0.62776005,1.0709165,1.340343
android.sensor.gyroscope,1523856707796,1477054053917868,-0.65476024,1.2544554,1.646596
android.sensor.gyroscope,1523856707816,1477054073908493,-0.6741334,1.3965251,1.9386768
android.sensor.gyroscope,1523856707836,1477054093899118,-0.70603806,1.4867936,2.2228339
android.sensor.gyroscope,1523856707856,1477054113889743,-0.74556977,1.5178779,2.4622755
android.sensor.gyroscope,1523856707876,1477054133911618,-0.78483963,1.5326085,2.6910708
android.sensor.gyroscope,1523856707896,1477054153903805,-0.83121306,1.5290655,2.909516
android.sensor.gyroscope,1523856707916,1477054173894430,-0.89011794,1.4990633,3.1045043
android.sensor.gyroscope,1523856707936,1477054193916305,-0.9520073,1.44426,3.2277596
android.sensor.gyroscope,1523856707956,1477054213906930,-1.0305471,1.3902595,3.3420262
android.sensor.gyroscope,1523856707976,1477054233897555,-1.1047236,1.3305343,3.4058354
