Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523856315839,1476662093899118,1.982399,-9.212888,3.2752678
android.sensor.accelerometer,1523856315854,1476662113891305,1.934515,-9.308656,3.3135753
android.sensor.accelerometer,1523856315874,1476662133913180,1.8483237,-9.251195,3.3039982
android.sensor.accelerometer,1523856315894,1476662153903805,2.0015526,-9.14585,3.2561142
android.sensor.accelerometer,1523856315914,1476662173894430,1.934515,-9.184157,3.1986535
android.sensor.accelerometer,1523856315934,1476662193916305,1.9632454,-9.212888,3.1794999
android.sensor.accelerometer,1523856315954,1476662213906930,1.9440918,-9.165004,3.265691
android.sensor.accelerometer,1523856315974,1476662233897555,1.7525556,-9.212888,3.1794999
android.sensor.accelerometer,1523856315994,1476662253889743,1.7812861,-9.260772,3.1411927
android.sensor.accelerometer,1523856316014,1476662273911618,1.8195933,-9.241618,3.0550013
android.sensor.accelerometer,1523856316034,1476662293902243,1.8483237,-9.193734,2.9400797
android.sensor.accelerometer,1523856316054,1476662313892868,1.9153614,-9.11712,2.882619
android.sensor.accelerometer,1523856316074,1476662333916305,1.7621324,-9.14585,2.9113493
android.sensor.accelerometer,1523856316094,1476662353906930,1.5705963,-9.184157,2.9400797
android.sensor.accelerometer,1523856316114,1476662373897555,1.388637,-9.203311,3.016694
android.sensor.accelerometer,1523856316134,1476662393888180,1.5035586,-9.155427,3.074155
android.sensor.accelerometer,1523856316154,1476662413911618,1.6950948,-9.11712,2.9113493
android.sensor.accelerometer,1523856316174,1476662433900680,1.8195933,-9.14585,2.6910827
android.sensor.accelerometer,1523856316194,1476662453891305,1.5801731,-9.069236,2.719813
android.sensor.accelerometer,1523856316214,1476662473914743,1.5897499,-9.088389,3.0358477
android.sensor.accelerometer,1523856316234,1476662493906930,1.6472107,-9.002198,3.3039982
android.sensor.accelerometer,1523856316254,1476662513895993,1.6663644,-8.858546,2.8921957
android.sensor.accelerometer,1523856316274,1476662533888180,1.7812861,-8.810662,2.7868507
android.sensor.accelerometer,1523856316294,1476662553908493,2.0494366,-8.791509,2.777274
android.sensor.accelerometer,1523856316314,1476662573900680,1.9440918,-8.848969,2.7006595
android.sensor.accelerometer,1523856316334,1476662593892868,1.3024458,-8.695741,3.016694
android.sensor.accelerometer,1523856316354,1476662613913180,0.6991069,-8.561666,3.8977604
android.sensor.accelerometer,1523856316374,1476662633905368,0.2777274,-8.475474,4.7405195
android.sensor.accelerometer,1523856316394,1476662653894430,-0.10534488,-8.418014,5.602432
android.sensor.accelerometer,1523856316414,1476662673917868,0.22026655,-8.350976,6.301539
android.sensor.accelerometer,1523856316434,1476662693908493,0.545878,-8.283937,6.991069
android.sensor.accelerometer,1523856316454,1476662713899118,0.6607997,-7.967903,7.3166804
android.sensor.accelerometer,1523856316474,1476662733889743,0.17238252,-7.5082164,7.6710224
android.sensor.accelerometer,1523856316494,1476662753911618,0.1436521,-7.441179,9.404425
android.sensor.accelerometer,1523856316514,1476662773903805,1.1492168,-7.441179,10.630256
android.sensor.accelerometer,1523856316534,1476662793894430,1.6089035,-7.728483,12.306197
android.sensor.accelerometer,1523856316554,1476662813917868,1.0534488,-7.8625584,13.618219
android.sensor.accelerometer,1523856316574,1476662833908493,1.4269443,-9.088389,14.039598
android.sensor.accelerometer,1523856316594,1476662853897555,2.2984335,-10.084377,13.01488
android.sensor.accelerometer,1523856316614,1476662873889743,2.2697031,-10.70687,12.698846
android.sensor.accelerometer,1523856316634,1476662893911618,2.4995465,-11.798626,12.957419
android.sensor.accelerometer,1523856316654,1476662913902243,2.5570073,-13.024457,13.273455
android.sensor.accelerometer,1523856316674,1476662933892868,2.5953147,-14.221559,13.474567
android.sensor.accelerometer,1523856316694,1476662953914743,2.5091233,-15.543158,13.867216
android.sensor.accelerometer,1523856316714,1476662973906930,2.9400797,-16.864758,14.135366
android.sensor.accelerometer,1523856316734,1476662993897555,3.6487634,-17.84159,13.455414
android.sensor.accelerometer,1523856316754,1476663013888180,4.3287168,-18.301277,12.698846
android.sensor.accelerometer,1523856316774,1476663033910055,5.257667,-18.32043,11.405977
android.sensor.accelerometer,1523856316794,1476663053902243,5.2480903,-18.186356,10.457873
android.sensor.accelerometer,1523856316814,1476663073892868,4.4340615,-18.310854,10.658986
android.sensor.accelerometer,1523856316834,1476663093914743,3.2082303,-18.301277,11.080365
android.sensor.accelerometer,1523856316854,1476663113905368,2.873042,-18.377892,9.710882
android.sensor.accelerometer,1523856316874,1476663133895993,3.2082303,-16.97968,7.8625584
android.sensor.accelerometer,1523856316894,1476663153888180,3.667917,-14.15452,6.129156
android.sensor.accelerometer,1523856316914,1476663173910055,4.1371803,-12.650962,5.592855
android.sensor.accelerometer,1523856316934,1476663193900680,3.2561142,-10.486604,3.6966474
android.sensor.accelerometer,1523856316954,1476663213891305,2.2888567,-8.63828,1.7812861
android.sensor.accelerometer,1523856316974,1476663233913180,0.94810385,-6.799533,1.9919758
android.sensor.accelerometer,1523856316994,1476663253903805,0.095768064,-5.861006,3.1603463
android.sensor.accelerometer,1523856317014,1476663273895993,0.35434186,-5.391742,3.8402996
android.sensor.accelerometer,1523856317034,1476663293886618,0.7565677,-4.367024,3.0933087
android.sensor.accelerometer,1523856317054,1476663313910055,0.8523358,-3.3518825,2.0590134
android.sensor.accelerometer,1523856317074,1476663333900680,0.25857377,-2.2888567,1.8866309
android.sensor.accelerometer,1523856317094,1476663353891305,-0.095768064,-1.6184803,2.633622
android.sensor.accelerometer,1523856317114,1476663373913180,-0.25857377,-0.7374141,3.064578
android.sensor.accelerometer,1523856317134,1476663393903805,-0.46926352,0.10534488,3.572149
android.sensor.accelerometer,1523856317154,1476663413894430,-1.1779473,0.94810385,4.548983
android.sensor.accelerometer,1523856317174,1476663433917868,-0.78529817,1.340753,5.5737014
android.sensor.accelerometer,1523856317194,1476663453906930,0.1340753,2.078167,5.4204726
android.sensor.accelerometer,1523856317214,1476663473897555,2.087744,3.064578,5.0278234
android.sensor.accelerometer,1523856317234,1476663493889743,2.9017725,3.6008794,4.9703627
android.sensor.accelerometer,1523856317254,1476663513911618,3.217807,3.6774938,5.3247046
android.sensor.accelerometer,1523856317274,1476663533902243,2.8538885,3.5913026,6.129156
android.sensor.accelerometer,1523856317294,1476663553894430,2.5474305,3.5913026,7.3166804
android.sensor.accelerometer,1523856317314,1476663573916305,2.7006595,3.8307228,7.4603324
android.sensor.accelerometer,1523856317334,1476663593906930,2.96881,4.2521024,7.0006456
android.sensor.accelerometer,1523856317354,1476663613897555,2.6623523,4.644751,6.4547677
android.sensor.accelerometer,1523856317374,1476663633889743,2.5474305,4.6160207,7.144298
android.sensor.accelerometer,1523856317394,1476663653911618,2.4229321,4.405331,7.881712
android.sensor.accelerometer,1523856317414,1476663673902243,2.834735,4.367024,8.322245
android.sensor.accelerometer,1523856317434,1476663693892868,3.6104562,4.2904096,8.542512
android.sensor.accelerometer,1523856317454,1476663713914743,2.9400797,4.309563,8.475474
android.sensor.accelerometer,1523856317474,1476663733905368,2.3654714,4.213795,8.24563
android.sensor.accelerometer,1523856317494,1476663753897555,2.4995465,4.280833,7.776367
android.sensor.accelerometer,1523856317514,1476663773888180,3.3423057,5.161899,3.5242648
android.sensor.accelerometer,1523856317534,1476663793910055,2.2218192,3.9264908,8.1402855
