Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523856301922,1476648173895993,-0.044715334,0.03926991,0.033807028
android.sensor.gyroscope,1523856301936,1476648193888180,-0.03244567,0.041992623,0.018535396
android.sensor.gyroscope,1523856301956,1476648213910055,-0.034348078,0.057526052,0.013631022
android.sensor.gyroscope,1523856301976,1476648233900680,-0.042533673,0.061889376,0.020717058
android.sensor.gyroscope,1523856301996,1476648253891305,-0.040893063,0.07661995,0.011990412
android.sensor.gyroscope,1523856302016,1476648273913180,-0.03626794,0.07934267,0.00572468
android.sensor.gyroscope,1523856302036,1476648293905368,-0.039531708,0.08726646,0.006544985
android.sensor.gyroscope,1523856302056,1476648313895993,-0.032986723,0.06899287,0.0155334305
android.sensor.gyroscope,1523856302076,1476648333886618,-0.026720991,0.059707712,0.020176006
android.sensor.gyroscope,1523856302096,1476648353908493,-0.027262043,0.05534439,0.029722957
android.sensor.gyroscope,1523856302116,1476648373899118,-0.02453933,0.061086524,0.019076448
android.sensor.gyroscope,1523856302137,1476648393891305,-0.020176006,0.050178215,0.015271631
android.sensor.gyroscope,1523856302156,1476648413913180,-0.027541295,0.046076693,0.016353736
android.sensor.gyroscope,1523856302176,1476648433903805,0.0,0.0,0.0
android.sensor.gyroscope,1523856302196,1476648453894430,-0.031084314,-0.01144936,0.021537364
android.sensor.gyroscope,1523856302216,1476648473916305,-0.057526052,-0.016074482,0.033265974
android.sensor.gyroscope,1523856302236,1476648493908493,-0.03598869,0.00408407,0.016074482
android.sensor.gyroscope,1523856302256,1476648513899118,-0.036808994,0.0054454273,0.013351769
android.sensor.gyroscope,1523856302276,1476648533889743,-0.053162728,0.009267698,0.015812684
android.sensor.gyroscope,1523856302296,1476648553911618,-0.074717544,0.01308997,0.018535396
android.sensor.gyroscope,1523856302316,1476648573902243,-0.07253588,-8.0285146E-4,0.0283616
android.sensor.gyroscope,1523856302336,1476648593892868,-0.048258353,-0.01144936,0.026441738
android.sensor.gyroscope,1523856302356,1476648613916305,-0.045814894,-0.0016231562,0.032724924
android.sensor.gyroscope,1523856302376,1476648633906930,-0.05126032,0.0027227136,0.045256387
android.sensor.gyroscope,1523856302396,1476648653897555,-0.05126032,0.019076448,0.04117232
android.sensor.gyroscope,1523856302416,1476648673888180,-0.057526052,0.061627574,0.046076693
android.sensor.gyroscope,1523856302436,1476648693911618,-0.04145157,0.101717785,0.04225442
android.sensor.gyroscope,1523856302456,1476648713902243,-0.03244567,0.15271631,0.04225442
android.sensor.gyroscope,1523856302476,1476648733892868,-0.033807028,0.20125392,0.053441983
android.sensor.gyroscope,1523856302496,1476648753914743,-0.0038048178,0.34224162,0.034906585
android.sensor.gyroscope,1523856302516,1476648773905368,0.05071927,0.607584,-0.021537364
android.sensor.gyroscope,1523856302536,1476648793895993,0.11180579,0.8661196,-0.07035422
android.sensor.gyroscope,1523856302556,1476648813888180,0.17997836,1.1718141,-0.14617133
android.sensor.gyroscope,1523856302576,1476648833908493,0.24678956,1.4911569,-0.24024457
android.sensor.gyroscope,1523856302596,1476648853900680,0.30841714,1.767687,-0.33487633
android.sensor.gyroscope,1523856302616,1476648873891305,0.35805428,1.9291298,-0.41233402
android.sensor.gyroscope,1523856302636,1476648893914743,0.39786527,2.0139353,-0.46577603
android.sensor.gyroscope,1523856302656,1476648913905368,0.43987533,2.1028426,-0.5279621
android.sensor.gyroscope,1523856302676,1476648933895993,0.49195597,2.1688335,-0.59559363
android.sensor.gyroscope,1523856302696,1476648953888180,0.5527632,2.2181914,-0.6697701
android.sensor.gyroscope,1523856302716,1476648973910055,0.607584,2.181103,-0.72267103
android.sensor.gyroscope,1523856302736,1476648993899118,0.6433109,2.1044831,-0.75293505
android.sensor.gyroscope,1523856302756,1476649013891305,0.6743952,2.0371134,-0.76466364
android.sensor.gyroscope,1523856302776,1476649033913180,0.69102824,1.9176805,-0.75893897
android.sensor.gyroscope,1523856302796,1476649053903805,0.6803992,1.7744937,-0.73548174
android.sensor.gyroscope,1523856302816,1476649073894430,0.65640086,1.6179726,-0.6864031
android.sensor.gyroscope,1523856302836,1476649093917868,0.63376397,1.4728833,-0.62912136
android.sensor.gyroscope,1523856302856,1476649113908493,0.60786325,1.2702681,-0.54595643
android.sensor.gyroscope,1523856302876,1476649133899118,0.5729567,1.0278244,-0.4395961
android.sensor.gyroscope,1523856302896,1476649153889743,0.54105204,0.7769333,-0.31278044
android.sensor.gyroscope,1523856302916,1476649173911618,0.5039638,0.5666735,-0.19470893
android.sensor.gyroscope,1523856302936,1476649193903805,0.45814893,0.29996973,-0.062168628
android.sensor.gyroscope,1523856302956,1476649213894430,0.4136954,-0.018256145,0.09679596
android.sensor.gyroscope,1523856302976,1476649233914743,0.39678314,-0.3755076,0.27515116
