Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523740916880,1361263133291146,2.135628,-0.36391866,9.203311
android.sensor.accelerometer,1523740916893,1361263153311458,2.135628,-0.45010993,9.097966
android.sensor.accelerometer,1523740916913,1361263173303646,1.9057846,-0.5650316,9.174581
android.sensor.accelerometer,1523740916933,1361263193294271,1.5035586,-0.51714754,8.896853
android.sensor.accelerometer,1523740916953,1361263213316146,1.3311762,-0.33518824,9.414001
android.sensor.accelerometer,1523740916973,1361263233308333,2.1452048,-0.35434186,9.9790325
android.sensor.accelerometer,1523740916993,1361263253297396,3.1603463,-0.60333884,9.835381
android.sensor.accelerometer,1523740917013,1361263273320833,3.2082303,-0.61291564,9.126697
android.sensor.accelerometer,1523740917033,1361263293311458,3.083732,-0.45010993,8.418014
android.sensor.accelerometer,1523740917054,1361263313302083,3.3135753,-0.4213795,8.121132
android.sensor.accelerometer,1523740917074,1361263333294271,2.4708161,-0.2777274,9.136273
android.sensor.accelerometer,1523740917094,1361263353316146,2.777274,-0.61291564,10.582372
android.sensor.accelerometer,1523740917114,1361263373306771,2.336741,-0.5650316,11.60709
android.sensor.accelerometer,1523740917134,1361263393297396,2.4612393,-0.18195933,11.769896
android.sensor.accelerometer,1523740917154,1361263413319271,2.7389667,-0.21068975,11.463438
android.sensor.accelerometer,1523740917174,1361263433311458,2.6910827,-0.06703765,10.7356
android.sensor.accelerometer,1523740917194,1361263453302083,2.5187001,0.1436521,11.003751
android.sensor.accelerometer,1523740917214,1361263473292708,2.4708161,0.38307226,12.162544
android.sensor.accelerometer,1523740917234,1361263493314583,2.528277,0.34476504,12.660539
android.sensor.accelerometer,1523740917254,1361263513306771,2.231396,0.2777274,12.650962
android.sensor.accelerometer,1523740917274,1361263533297396,2.1260512,0.076614454,12.344504
android.sensor.accelerometer,1523740917294,1361263553319271,1.7812861,0.047884032,12.181698
android.sensor.accelerometer,1523740917314,1361263573309896,1.7525556,0.20111294,12.08593
android.sensor.accelerometer,1523740917333,1361263593300521,2.2026656,0.08619126,11.645397
android.sensor.accelerometer,1523740917353,1361263613291146,1.7429788,0.1436521,11.21444
android.sensor.accelerometer,1523740917373,1361263633313021,1.4269443,0.19153613,11.492168
android.sensor.accelerometer,1523740917393,1361263653303646,2.1068976,-0.17238252,11.501745
android.sensor.accelerometer,1523740917413,1361263673295833,2.4037786,0.21068975,11.741165
android.sensor.accelerometer,1523740917434,1361263693317708,2.432509,-0.019153614,12.354081
android.sensor.accelerometer,1523740917453,1361263713308333,2.633622,-0.35434186,11.501745
android.sensor.accelerometer,1523740917474,1361263733300521,2.1164744,-0.48841715,9.80665
android.sensor.accelerometer,1523740917494,1361263753291146,0.51714754,-0.047884032,9.921572
android.sensor.accelerometer,1523740917513,1361263773313021,1.388637,0.1340753,12.765883
