Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523740910155,1361256413305208,0.01144936,0.09843657,0.07335619
android.sensor.gyroscope,1523740910175,1361256433295833,0.019076448,0.12325515,0.07661995
android.sensor.gyroscope,1523740910195,1361256453319271,0.025080381,0.12461651,0.08370599
android.sensor.gyroscope,1523740910215,1361256473309896,0.029984757,0.13062043,0.08016297
android.sensor.gyroscope,1523740910235,1361256493300521,0.03926991,0.13444272,0.059707712
android.sensor.gyroscope,1523740910255,1361256513291146,0.044174284,0.12952088,0.0662527
android.sensor.gyroscope,1523740910275,1361256533313021,0.046896998,0.119991384,0.069533914
android.sensor.gyroscope,1523740910295,1361256553303646,0.059986968,0.118350774,0.061889376
android.sensor.gyroscope,1523740910315,1361256573295833,0.05644395,0.09979793,0.04499459
android.sensor.gyroscope,1523740910335,1361256593317708,0.06462954,0.09162979,0.03598869
android.sensor.gyroscope,1523740910355,1361256613308333,0.057264253,0.085887656,0.040893063
android.sensor.gyroscope,1523740910375,1361256633298958,0.054262288,0.08862782,0.038990654
android.sensor.gyroscope,1523740910395,1361256653289583,0.05126032,0.07661995,0.048537605
android.sensor.gyroscope,1523740910415,1361256673313021,0.055902895,0.08044223,0.052080624
android.sensor.gyroscope,1523740910435,1361256693303646,0.066811204,0.082623884,0.05071927
android.sensor.gyroscope,1523740910455,1361256713294271,0.07744026,0.080721475,0.037088245
android.sensor.gyroscope,1523740910475,1361256733316146,0.07389724,0.07199483,0.014713125
android.sensor.gyroscope,1523740910495,1361256753308333,0.07744026,0.06817256,0.014992379
android.sensor.gyroscope,1523740910515,1361256773298958,0.07389724,0.059445914,0.014992379
android.sensor.gyroscope,1523740910535,1361256793320833,0.067073,0.054262288,0.014713125
android.sensor.gyroscope,1523740910555,1361256813311458,0.06925467,0.053441983,2.6179937E-4
android.sensor.gyroscope,1523740910575,1361256833302083,0.054262288,0.040072758,-0.0109083075
android.sensor.gyroscope,1523740910595,1361256853294271,0.059166662,0.03926991,-0.03244567
android.sensor.gyroscope,1523740910615,1361256873316146,0.08044223,0.046617743,-0.07225663
android.sensor.gyroscope,1523740910635,1361256893306771,0.08698721,0.048537605,-0.07253588
android.sensor.gyroscope,1523740910655,1361256913297396,0.08752826,0.05071927,-0.07035422
android.sensor.gyroscope,1523740910675,1361256933319271,0.084264494,0.048537605,-0.07579965
android.sensor.gyroscope,1523740910695,1361256953309896,0.08126253,0.048537605,-0.07007497
android.sensor.gyroscope,1523740910715,1361256973302083,0.07744026,0.051801372,-0.06026622
android.sensor.gyroscope,1523740910735,1361256993291146,0.076358154,0.058346357,-0.05534439
android.sensor.gyroscope,1523740910755,1361257013314583,0.06653195,0.06026622,-0.06517059
android.sensor.gyroscope,1523740910775,1361257033305208,0.056164697,0.06026622,-0.09189159
android.sensor.gyroscope,1523740910795,1361257053297396,0.042812925,0.05808456,-0.09979793
android.sensor.gyroscope,1523740910815,1361257073319271,0.034906585,0.063268185,-0.10826277
android.sensor.gyroscope,1523740910835,1361257093309896,0.02698279,0.0853466,-0.10908308
